Dimension,Code,Title,ParentDimension,ParentCode,ParentTitle
TOBACCO_INDICATOR,TOBACCO_INDICATOR_Adult_curr_cig_smoking,Prevalence of current cigarette smoking among adults (%),,,
TOBACCO_INDICATOR,TOBACCO_INDICATOR_Adult_curr_e-cig,Prevalence of current e-cigarette use among adults (%),,,
TOBACCO_INDICATOR,TOBACCO_INDICATOR_Adult_curr_smokeless,Prevalence of current smokeless tobacco use among adults (%),,,
TOBACCO_INDICATOR,TOBACCO_INDICATOR_Adult_curr_tob_smoking,Prevalence of current tobacco smoking among adults (%),,,
TOBACCO_INDICATOR,TOBACCO_INDICATOR_Adult_curr_tob_use,Prevalence of current tobacco use among adults (%),,,
TOBACCO_INDICATOR,TOBACCO_INDICATOR_Adult_daily_cig_smoking,Prevalence of daily cigarette smoking among adults (%),,,
TOBACCO_INDICATOR,TOBACCO_INDICATOR_Adult_daily_e-cig,Prevalence of daily e-cigarette use among adults (%),,,
TOBACCO_INDICATOR,TOBACCO_INDICATOR_Adult_daily_smokeless,Prevalence of daily smokeless tobacco use among adults (%),,,
TOBACCO_INDICATOR,TOBACCO_INDICATOR_Adult_daily_tob_smoking,Prevalence of daily tobacco smoking among adults (%),,,
TOBACCO_INDICATOR,TOBACCO_INDICATOR_Adult_daily_tob_use,Prevalence of daily tobacco use among adults (%),,,
TOBACCO_INDICATOR,TOBACCO_INDICATOR_Adult_nonsmoked_age_grp,Age range of latest adult prevalence survey (nonsmoked),,,
TOBACCO_INDICATOR,TOBACCO_INDICATOR_Adult_nonsmoked_national,Representation of latest adult prevalence survey (nonsmoked),,,
TOBACCO_INDICATOR,TOBACCO_INDICATOR_Adult_nonsmoked_svy_title,Name of latest adult prevalence survey (nonsmoked),,,
TOBACCO_INDICATOR,TOBACCO_INDICATOR_Adult_nonsmoked_svy_yr,Year of latest adult prevalence survey (nonsmoked),,,
TOBACCO_INDICATOR,TOBACCO_INDICATOR_Adult_survey_title,Title of most recent survey of adults,,,
TOBACCO_INDICATOR,TOBACCO_INDICATOR_Adult_svy_age_range,Age range of most recent survey of adults,,,
TOBACCO_INDICATOR,TOBACCO_INDICATOR_Adult_svy_national,Representativeness of most recent survey of adults,,,
TOBACCO_INDICATOR,TOBACCO_INDICATOR_Adult_svy_yr,Year of most recent adult survey,,,
TOBACCO_INDICATOR,TOBACCO_INDICATOR_Camp_aud_research,Formative research was conducted prior to the campaign,,,
TOBACCO_INDICATOR,TOBACCO_INDICATOR_Camp_eval_impact,Outcome evaluation was employed to assess effectiveness of the campaign,,,
TOBACCO_INDICATOR,TOBACCO_INDICATOR_Camp_gov_prog,Campaign was part of a comprehensive tobacco control programme,,,
TOBACCO_INDICATOR,TOBACCO_INDICATOR_Camp_mat_tested,Campaign was pre-tested,,,
TOBACCO_INDICATOR,TOBACCO_INDICATOR_Camp_media_monitor,Process evaluation was employed to assess implementation of the campaign,,,
TOBACCO_INDICATOR,TOBACCO_INDICATOR_Camp_media_planning,Campaign utilized media planning,,,
TOBACCO_INDICATOR,TOBACCO_INDICATOR_Camp_nat,At least one national mass media campaign ran during the survey period,,,
TOBACCO_INDICATOR,TOBACCO_INDICATOR_Camp_news,Earned media/public relations were used to promote the campaign,,,
TOBACCO_INDICATOR,TOBACCO_INDICATOR_Camp_tv_radio,Campaign ran on both national television and radio,,,
TOBACCO_INDICATOR,TOBACCO_INDICATOR_CURRENCY_LOCAL,Currency reported,,,
TOBACCO_INDICATOR,TOBACCO_INDICATOR_E_compl_all_dir,Overall compliance with bans on direct advertising (score),,,
TOBACCO_INDICATOR,TOBACCO_INDICATOR_E_compl_e_all_indir,Overall compliance with bans on promotion and sponsorship (score),,,
TOBACCO_INDICATOR,TOBACCO_INDICATOR_E_comprehensive_subnat,"Subnational bans on advertising, promotion and sponsorship - at least one jurisdiction has a comprehensive ban in place",,,
TOBACCO_INDICATOR,TOBACCO_INDICATOR_E_Group,Enforce bans on tobacco advertising,,,
TOBACCO_INDICATOR,TOBACCO_INDICATOR_E1_nat_tv_radio,Ban on advertising on national television and radio,,,
TOBACCO_INDICATOR,TOBACCO_INDICATOR_E10_promo_discounts,Ban on promotional discounts,,,
TOBACCO_INDICATOR,TOBACCO_INDICATOR_E11_brand_stretching,Ban on identifying non-tobacco products with tobacco brand names,,,
TOBACCO_INDICATOR,TOBACCO_INDICATOR_E12_brand_sharing,Ban on use of brand name of non-tobacco product for tobacco product,,,
TOBACCO_INDICATOR,TOBACCO_INDICATOR_E13_brand_placement,Ban on appearance of tobacco brands in TV and/or films (product placement),,,
TOBACCO_INDICATOR,TOBACCO_INDICATOR_E14a_prod_tv_films,Ban on appearance of tobacco products in TV and/or films,,,
TOBACCO_INDICATOR,TOBACCO_INDICATOR_E14b_movies_anti_tob_ads,"Required anti-tobacco ads for any visual entertainment media product that depicts tobacco products, use or images",,,
TOBACCO_INDICATOR,TOBACCO_INDICATOR_E15a_sponsorship,Ban on sponsorship (contributions and/or publicity of contributions),,,
TOBACCO_INDICATOR,TOBACCO_INDICATOR_E15b_sponsor_contribution,"Ban on any form of contribution (financial or other support) to any event, activity or individual",,,
TOBACCO_INDICATOR,TOBACCO_INDICATOR_E15c_sponsor_publicity,"Banning the publicity of financial or other sponsorship or support by the tobacco industry of events, activities, individuals",,,
TOBACCO_INDICATOR,TOBACCO_INDICATOR_E17b_csr_promo_self,Ban on tobacco companies/the tobacco industry publicizing their CSR activities,,,
TOBACCO_INDICATOR,TOBACCO_INDICATOR_E17c_csr_promo_others,Ban on entities other than tobacco companies/the tobacco industry publicizing the CSR activities of the tobacco companies/industry,,,
TOBACCO_INDICATOR,TOBACCO_INDICATOR_E18_csr_anti_tobacco_media,"Ban on tobacco companies funding/making contributions (incl in-kind) to smoking prevention media campaigns, incl. directed at youth",,,
TOBACCO_INDICATOR,TOBACCO_INDICATOR_E19_indirect_ad_fines,"Law requires fines for violations of indirect advertising bans,2018",,,
TOBACCO_INDICATOR,TOBACCO_INDICATOR_E2_intl_tv_radio,Ban on advertising on international television and radio,,,
TOBACCO_INDICATOR,TOBACCO_INDICATOR_E21a_direct_ad_fines,Law requires fines for violations of advertising bans,,,
TOBACCO_INDICATOR,TOBACCO_INDICATOR_E21b_indirect_ad_fines,Law requires fines for violations of promotion and sponsorship bans,,,
TOBACCO_INDICATOR,TOBACCO_INDICATOR_E22_subnational_authority_exists,"Subnational bans on tobacco advertising, promotion and sponsorship authority exists",,,
TOBACCO_INDICATOR,TOBACCO_INDICATOR_E23_vending_machines,Ban on tobacco vending machines,,,
TOBACCO_INDICATOR,TOBACCO_INDICATOR_E24_internet_sales_ban,Ban on internet sales of tobacco products,,,
TOBACCO_INDICATOR,TOBACCO_INDICATOR_E3_nat_print,Ban on advertising in local magazines and newspapers,,,
TOBACCO_INDICATOR,TOBACCO_INDICATOR_E4_intl_print,Ban on advertising in international magazines and newspapers,,,
TOBACCO_INDICATOR,TOBACCO_INDICATOR_E5_billboards,Ban on billboard and outdoor advertising,,,
TOBACCO_INDICATOR,TOBACCO_INDICATOR_E6a_pt_of_sale,Ban on advertising: Point of sale,,,
TOBACCO_INDICATOR,TOBACCO_INDICATOR_E6b_ban_display_pt_of_sale,Ban on product display at point of sale,,,
TOBACCO_INDICATOR,TOBACCO_INDICATOR_E7_internet,Ban on advertising on the internet,,,
TOBACCO_INDICATOR,TOBACCO_INDICATOR_E8_direct_ad_fines,"Law requires fines for violations of direct advertising bans, 2018",,,
TOBACCO_INDICATOR,TOBACCO_INDICATOR_E9_free_distrib,Ban on free distribution in mail or through other means,,,
TOBACCO_INDICATOR,TOBACCO_INDICATOR_M_Group,Monitor tobacco use and prevention policies,,,
TOBACCO_INDICATOR,TOBACCO_INDICATOR_NICOTINE_YN,Contains nicotine,,,
TOBACCO_INDICATOR,TOBACCO_INDICATOR_NTCP_agcy,National agency for tobacco control exists,,,
TOBACCO_INDICATOR,TOBACCO_INDICATOR_NTCP_budget_year,Budget year,,,
TOBACCO_INDICATOR,TOBACCO_INDICATOR_NTCP_curr,National tobacco control budget - currency reported,,,
TOBACCO_INDICATOR,TOBACCO_INDICATOR_NTCP_FTE,Number of full-time equivalent staff in national agency,,,
TOBACCO_INDICATOR,TOBACCO_INDICATOR_NTCP_govt_exp,Annual budget for tobacco control in currency reported,,,
