Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
2948997,TOBACCO_MPOWER_E1_DIRECTADBANS,COUNTRY,RWA,AFR,Africa,YEAR,2008,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E5_billboards,,,,,,,No,,,,,2025-07-18T11:00:29Z,2008,2008-01-01,2008-12-31
2949101,TOBACCO_MPOWER_E1_DIRECTADBANS,COUNTRY,GIN,AFR,Africa,YEAR,2022,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E3_nat_print,,,,,,,Yes,,,,,2025-07-18T11:00:29Z,2022,2022-01-01,2022-12-31
2949162,TOBACCO_MPOWER_E1_DIRECTADBANS,COUNTRY,KEN,AFR,Africa,YEAR,2018,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E6a_pt_of_sale,,,,,,,Yes,,,,,2025-08-04T13:53:36Z,2018,2018-01-01,2018-12-31
2950231,TOBACCO_MPOWER_E1_DIRECTADBANS,COUNTRY,HTI,AMR,Americas,YEAR,2012,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E2_intl_tv_radio,,,,,,,No,,,,,2025-07-18T11:00:29Z,2012,2012-01-01,2012-12-31
2950344,TOBACCO_MPOWER_E1_DIRECTADBANS,COUNTRY,PHL,WPR,Western Pacific,YEAR,2022,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E5_billboards,,,,,,,Yes,,,,,2025-07-18T11:00:29Z,2022,2022-01-01,2022-12-31
2950645,TOBACCO_MPOWER_E1_DIRECTADBANS,COUNTRY,DNK,EUR,Europe,YEAR,2007,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E6a_pt_of_sale,,,,,,,No,,,,,2025-08-04T13:53:36Z,2007,2007-01-01,2007-12-31
2951833,TOBACCO_MPOWER_E1_DIRECTADBANS,COUNTRY,PAK,EMR,Eastern Mediterranean,YEAR,2014,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E2_intl_tv_radio,,,,,,,Yes,,,,,2025-07-18T11:00:29Z,2014,2014-01-01,2014-12-31
2952825,TOBACCO_MPOWER_E1_DIRECTADBANS,COUNTRY,USA,AMR,Americas,YEAR,2010,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E3_nat_print,,,,,,,No,,,,,2025-07-18T11:00:29Z,2010,2010-01-01,2010-12-31
2954605,TOBACCO_MPOWER_E1_DIRECTADBANS,COUNTRY,NPL,SEAR,South-East Asia,YEAR,2012,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E21a_direct_ad_fines,,,,,,,Yes,,,,,2025-07-18T11:00:29Z,2012,2012-01-01,2012-12-31
2955075,TOBACCO_MPOWER_E1_DIRECTADBANS,COUNTRY,LAO,WPR,Western Pacific,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E7_internet,,,,,,,Yes,,,,,2025-07-18T11:00:29Z,2024,2024-01-01,2024-12-31
2955510,TOBACCO_MPOWER_E1_DIRECTADBANS,COUNTRY,FJI,WPR,Western Pacific,YEAR,2010,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E7_internet,,,,,,,No,,,,,2025-07-18T11:00:29Z,2010,2010-01-01,2010-12-31
2956086,TOBACCO_MPOWER_E1_DIRECTADBANS,COUNTRY,SLB,WPR,Western Pacific,YEAR,2020,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E2_intl_tv_radio,,,,,,,No,,,,,2025-07-18T11:00:29Z,2020,2020-01-01,2020-12-31
2956315,TOBACCO_MPOWER_E1_DIRECTADBANS,COUNTRY,PRK,SEAR,South-East Asia,YEAR,2016,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E2_intl_tv_radio,,,,,,,No,,,,,2025-07-18T11:00:29Z,2016,2016-01-01,2016-12-31
2956663,TOBACCO_MPOWER_E1_DIRECTADBANS,COUNTRY,SLB,WPR,Western Pacific,YEAR,2007,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E3_nat_print,,,,,,,No,,,,,2025-07-18T11:00:29Z,2007,2007-01-01,2007-12-31
2957550,TOBACCO_MPOWER_E1_DIRECTADBANS,COUNTRY,DMA,AMR,Americas,YEAR,2016,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E3_nat_print,,,,,,,No,,,,,2025-07-18T11:00:29Z,2016,2016-01-01,2016-12-31
2958363,TOBACCO_MPOWER_E1_DIRECTADBANS,COUNTRY,STP,AFR,Africa,YEAR,2008,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E21a_direct_ad_fines,,,,,,,—,,,,,2025-07-18T11:00:29Z,2008,2008-01-01,2008-12-31
