Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
2948375,TOBACCO_MPOWER_E2_INDIRECTADBANS,COUNTRY,COM,AFR,Africa,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E12_brand_sharing,,,,,,,No,,,,,2025-07-18T11:00:29Z,2024,2024-01-01,2024-12-31
2948482,TOBACCO_MPOWER_E2_INDIRECTADBANS,COUNTRY,ITA,EUR,Europe,YEAR,2007,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E14b_movies_anti_tob_ads,,,,,,,No,,,,,2025-07-18T11:00:29Z,2007,2007-01-01,2007-12-31
2948563,TOBACCO_MPOWER_E2_INDIRECTADBANS,COUNTRY,NZL,WPR,Western Pacific,YEAR,2007,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E15b_sponsor_contribution,,,,,,,No,,,,,2025-07-18T11:00:29Z,2007,2007-01-01,2007-12-31
2948867,TOBACCO_MPOWER_E2_INDIRECTADBANS,COUNTRY,SEN,AFR,Africa,YEAR,2022,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E11_brand_stretching,,,,,,,Yes,,,,,2025-07-18T11:00:29Z,2022,2022-01-01,2022-12-31
2949158,TOBACCO_MPOWER_E2_INDIRECTADBANS,COUNTRY,COL,AMR,Americas,YEAR,2012,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E14b_movies_anti_tob_ads,,,,,,,—,,,,,2025-07-18T11:00:29Z,2012,2012-01-01,2012-12-31
2950384,TOBACCO_MPOWER_E2_INDIRECTADBANS,COUNTRY,LAO,WPR,Western Pacific,YEAR,2007,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E9_free_distrib,,,,,,,No,,,,,2025-07-18T11:00:29Z,2007,2007-01-01,2007-12-31
2950651,TOBACCO_MPOWER_E2_INDIRECTADBANS,COUNTRY,CPV,AFR,Africa,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E15c_sponsor_publicity,,,,,,,Yes,,,,,2025-07-18T11:00:29Z,2024,2024-01-01,2024-12-31
2950906,TOBACCO_MPOWER_E2_INDIRECTADBANS,COUNTRY,IDN,WPR,Western Pacific,YEAR,2022,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E12_brand_sharing,,,,,,,No,,,,,2025-07-18T11:00:29Z,2022,2022-01-01,2022-12-31
2951042,TOBACCO_MPOWER_E2_INDIRECTADBANS,COUNTRY,USA,AMR,Americas,YEAR,2016,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E21b_indirect_ad_fines,,,,,,,—,,,,,2025-07-18T11:00:29Z,2016,2016-01-01,2016-12-31
2951136,TOBACCO_MPOWER_E2_INDIRECTADBANS,COUNTRY,FRA,EUR,Europe,YEAR,2008,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E13_brand_placement,,,,,,,Yes,,,,,2025-07-18T11:00:29Z,2008,2008-01-01,2008-12-31
