Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
2948915,TOBACCO_MPOWER_E3_INDIRECTADBANSPLUS,COUNTRY,GMB,AFR,Africa,YEAR,2022,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E17b_csr_promo_self,,,,,,,Yes,,,,,2025-07-18T11:00:29Z,2022,2022-01-01,2022-12-31
2949576,TOBACCO_MPOWER_E3_INDIRECTADBANSPLUS,COUNTRY,NIU,WPR,Western Pacific,YEAR,2016,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E6b_ban_display_pt_of_sale,,,,,,,No,,,,,2025-07-18T11:00:29Z,2016,2016-01-01,2016-12-31
2950447,TOBACCO_MPOWER_E3_INDIRECTADBANSPLUS,COUNTRY,SSD,AFR,Africa,YEAR,2012,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E17b_csr_promo_self,,,,,,,No,,,,,2025-07-18T11:00:29Z,2012,2012-01-01,2012-12-31
2967921,TOBACCO_MPOWER_E3_INDIRECTADBANSPLUS,COUNTRY,GRD,AMR,Americas,YEAR,2012,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E17c_csr_promo_others,,,,,,,No,,,,,2025-07-18T11:00:29Z,2012,2012-01-01,2012-12-31
2968147,TOBACCO_MPOWER_E3_INDIRECTADBANSPLUS,COUNTRY,GNQ,AFR,Africa,YEAR,2016,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E17b_csr_promo_self,,,,,,,No,,,,,2025-07-18T11:00:29Z,2016,2016-01-01,2016-12-31
2968892,TOBACCO_MPOWER_E3_INDIRECTADBANSPLUS,COUNTRY,LSO,AFR,Africa,YEAR,2014,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E24_internet_sales_ban,,,,,,,No,,,,,2025-07-18T11:00:29Z,2014,2014-01-01,2014-12-31
2969080,TOBACCO_MPOWER_E3_INDIRECTADBANSPLUS,COUNTRY,DEU,EUR,Europe,YEAR,2012,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E6b_ban_display_pt_of_sale,,,,,,,No,,,,,2025-07-18T11:00:29Z,2012,2012-01-01,2012-12-31
2974602,TOBACCO_MPOWER_E3_INDIRECTADBANSPLUS,COUNTRY,LCA,AMR,Americas,YEAR,2016,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E17b_csr_promo_self,,,,,,,No,,,,,2025-07-18T11:00:29Z,2016,2016-01-01,2016-12-31
2975851,TOBACCO_MPOWER_E3_INDIRECTADBANSPLUS,COUNTRY,MWI,AFR,Africa,YEAR,2016,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E6b_ban_display_pt_of_sale,,,,,,,No,,,,,2025-07-18T11:00:29Z,2016,2016-01-01,2016-12-31
2981016,TOBACCO_MPOWER_E3_INDIRECTADBANSPLUS,COUNTRY,LAO,WPR,Western Pacific,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E6b_ban_display_pt_of_sale,,,,,,,Yes,,,,,2025-07-18T11:00:29Z,2024,2024-01-01,2024-12-31
2981661,TOBACCO_MPOWER_E3_INDIRECTADBANSPLUS,COUNTRY,MDV,SEAR,South-East Asia,YEAR,2022,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E23_vending_machines,,,,,,,No,,,,,2025-07-18T11:00:29Z,2022,2022-01-01,2022-12-31
2987363,TOBACCO_MPOWER_E3_INDIRECTADBANSPLUS,COUNTRY,FRA,EUR,Europe,YEAR,2010,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E24_internet_sales_ban,,,,,,,No,,,,,2025-07-18T11:00:29Z,2010,2010-01-01,2010-12-31
2987433,TOBACCO_MPOWER_E3_INDIRECTADBANSPLUS,COUNTRY,PAN,AMR,Americas,YEAR,2022,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E18_csr_anti_tobacco_media,,,,,,,Yes,,,,,2025-07-18T11:00:29Z,2022,2022-01-01,2022-12-31
2993657,TOBACCO_MPOWER_E3_INDIRECTADBANSPLUS,COUNTRY,PAK,EMR,Eastern Mediterranean,YEAR,2022,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E6b_ban_display_pt_of_sale,,,,,,,Yes,,,,,2025-07-18T11:00:29Z,2022,2022-01-01,2022-12-31
2994483,TOBACCO_MPOWER_E3_INDIRECTADBANSPLUS,COUNTRY,PER,AMR,Americas,YEAR,2014,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E22_subnational_authority_exists,,,,,,,No,,,,,2025-07-18T11:00:29Z,2014,2014-01-01,2014-12-31
2994696,TOBACCO_MPOWER_E3_INDIRECTADBANSPLUS,COUNTRY,NRU,WPR,Western Pacific,YEAR,2010,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E23_vending_machines,,,,,,,Yes,,,,,2025-07-18T11:00:29Z,2010,2010-01-01,2010-12-31
2999687,TOBACCO_MPOWER_E3_INDIRECTADBANSPLUS,COUNTRY,BRA,AMR,Americas,YEAR,2020,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E17b_csr_promo_self,,,,,,,Yes,,,,,2025-07-18T11:00:29Z,2020,2020-01-01,2020-12-31
3000946,TOBACCO_MPOWER_E3_INDIRECTADBANSPLUS,COUNTRY,LBN,EMR,Eastern Mediterranean,YEAR,2008,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E17c_csr_promo_others,,,,,,,No,,,,,2025-07-18T11:00:29Z,2008,2008-01-01,2008-12-31
3001014,TOBACCO_MPOWER_E3_INDIRECTADBANSPLUS,COUNTRY,GUY,AMR,Americas,YEAR,2022,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E6b_ban_display_pt_of_sale,,,,,,,Yes,,,,,2025-07-18T11:00:29Z,2022,2022-01-01,2022-12-31
3006148,TOBACCO_MPOWER_E3_INDIRECTADBANSPLUS,COUNTRY,NLD,EUR,Europe,YEAR,2018,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E17b_csr_promo_self,,,,,,,Yes,,,,,2025-07-18T11:00:29Z,2018,2018-01-01,2018-12-31
3007340,TOBACCO_MPOWER_E3_INDIRECTADBANSPLUS,COUNTRY,SVN,EUR,Europe,YEAR,2010,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E24_internet_sales_ban,,,,,,,No,,,,,2025-07-18T11:00:29Z,2010,2010-01-01,2010-12-31
3013297,TOBACCO_MPOWER_E3_INDIRECTADBANSPLUS,COUNTRY,ALB,EUR,Europe,YEAR,2012,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E6b_ban_display_pt_of_sale,,,,,,,No,,,,,2025-07-18T11:00:29Z,2012,2012-01-01,2012-12-31
3013593,TOBACCO_MPOWER_E3_INDIRECTADBANSPLUS,COUNTRY,NER,AFR,Africa,YEAR,2007,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E6b_ban_display_pt_of_sale,,,,,,,No,,,,,2025-07-18T11:00:29Z,2007,2007-01-01,2007-12-31
3019052,TOBACCO_MPOWER_E3_INDIRECTADBANSPLUS,COUNTRY,CAN,AMR,Americas,YEAR,2018,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E6b_ban_display_pt_of_sale,,,,,,,No,,,,,2025-07-18T11:00:29Z,2018,2018-01-01,2018-12-31
3020094,TOBACCO_MPOWER_E3_INDIRECTADBANSPLUS,COUNTRY,SVN,EUR,Europe,YEAR,2012,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E23_vending_machines,,,,,,,Yes,,,,,2025-07-18T11:00:29Z,2012,2012-01-01,2012-12-31
3025132,TOBACCO_MPOWER_E3_INDIRECTADBANSPLUS,COUNTRY,TUR,EUR,Europe,YEAR,2020,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E24_internet_sales_ban,,,,,,,Yes,,,,,2025-07-18T11:00:29Z,2020,2020-01-01,2020-12-31
3026010,TOBACCO_MPOWER_E3_INDIRECTADBANSPLUS,COUNTRY,VEN,AMR,Americas,YEAR,2012,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E17c_csr_promo_others,,,,,,,No,,,,,2025-07-18T11:00:29Z,2012,2012-01-01,2012-12-31
3031661,TOBACCO_MPOWER_E3_INDIRECTADBANSPLUS,COUNTRY,LUX,EUR,Europe,YEAR,2022,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E22_subnational_authority_exists,,,,,,,—,,,,,2025-07-18T11:00:29Z,2022,2022-01-01,2022-12-31
3032678,TOBACCO_MPOWER_E3_INDIRECTADBANSPLUS,COUNTRY,AGO,AFR,Africa,YEAR,2012,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E18_csr_anti_tobacco_media,,,,,,,No,,,,,2025-07-18T11:00:29Z,2012,2012-01-01,2012-12-31
3037541,TOBACCO_MPOWER_E3_INDIRECTADBANSPLUS,COUNTRY,ECU,AMR,Americas,YEAR,2022,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E6b_ban_display_pt_of_sale,,,,,,,No,,,,,2025-07-18T11:00:29Z,2022,2022-01-01,2022-12-31
3037544,TOBACCO_MPOWER_E3_INDIRECTADBANSPLUS,COUNTRY,USA,AMR,Americas,YEAR,2008,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E6b_ban_display_pt_of_sale,,,,,,,No,,,,,2025-07-18T11:00:29Z,2008,2008-01-01,2008-12-31
3043877,TOBACCO_MPOWER_E3_INDIRECTADBANSPLUS,COUNTRY,SLV,AMR,Americas,YEAR,2016,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E17c_csr_promo_others,,,,,,,Yes,,,,,2025-07-18T11:00:29Z,2016,2016-01-01,2016-12-31
3044226,TOBACCO_MPOWER_E3_INDIRECTADBANSPLUS,COUNTRY,AGO,AFR,Africa,YEAR,2012,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E17b_csr_promo_self,,,,,,,No,,,,,2025-07-18T11:00:29Z,2012,2012-01-01,2012-12-31
3044328,TOBACCO_MPOWER_E3_INDIRECTADBANSPLUS,COUNTRY,CIV,AFR,Africa,YEAR,2010,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E24_internet_sales_ban,,,,,,,No,,,,,2025-07-18T11:00:29Z,2010,2010-01-01,2010-12-31
3044904,TOBACCO_MPOWER_E3_INDIRECTADBANSPLUS,COUNTRY,TKM,EUR,Europe,YEAR,2010,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E6b_ban_display_pt_of_sale,,,,,,,No,,,,,2025-07-18T11:00:29Z,2010,2010-01-01,2010-12-31
3050883,TOBACCO_MPOWER_E3_INDIRECTADBANSPLUS,COUNTRY,PER,AMR,Americas,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E22_subnational_authority_exists,,,,,,,No,,,,"A new law adopted in 2024 totally bans tobacco advertising, promotion, and sponsorship. However, as of 31 December 2024, no implementation date has been set, as the regulations are still pending.",2025-07-18T11:00:29Z,2024,2024-01-01,2024-12-31
3051249,TOBACCO_MPOWER_E3_INDIRECTADBANSPLUS,COUNTRY,EST,EUR,Europe,YEAR,2010,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E17c_csr_promo_others,,,,,,,No,,,,,2025-07-18T11:00:29Z,2010,2010-01-01,2010-12-31
3056568,TOBACCO_MPOWER_E3_INDIRECTADBANSPLUS,COUNTRY,ATG,AMR,Americas,YEAR,2007,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E24_internet_sales_ban,,,,,,,No,,,,,2025-07-18T11:00:29Z,2007,2007-01-01,2007-12-31
3057304,TOBACCO_MPOWER_E3_INDIRECTADBANSPLUS,COUNTRY,BLR,EUR,Europe,YEAR,2022,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E23_vending_machines,,,,,,,Yes,,,,,2025-07-18T11:00:29Z,2022,2022-01-01,2022-12-31
3057627,TOBACCO_MPOWER_E3_INDIRECTADBANSPLUS,COUNTRY,MDV,SEAR,South-East Asia,YEAR,2020,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E23_vending_machines,,,,,,,No,,,,,2025-07-18T11:00:29Z,2020,2020-01-01,2020-12-31
3062324,TOBACCO_MPOWER_E3_INDIRECTADBANSPLUS,COUNTRY,ERI,AFR,Africa,YEAR,2007,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E23_vending_machines,,,,,,,Yes,,,,,2025-07-18T11:00:29Z,2007,2007-01-01,2007-12-31
3070115,TOBACCO_MPOWER_E3_INDIRECTADBANSPLUS,COUNTRY,NZL,WPR,Western Pacific,YEAR,2010,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E6b_ban_display_pt_of_sale,,,,,,,No,,,,,2025-07-18T11:00:29Z,2010,2010-01-01,2010-12-31
3082086,TOBACCO_MPOWER_E3_INDIRECTADBANSPLUS,COUNTRY,VUT,WPR,Western Pacific,YEAR,2012,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E17b_csr_promo_self,,,,,,,Yes,,,,,2025-07-18T11:00:29Z,2012,2012-01-01,2012-12-31
3087448,TOBACCO_MPOWER_E3_INDIRECTADBANSPLUS,COUNTRY,SVN,EUR,Europe,YEAR,2022,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E17c_csr_promo_others,,,,,,,Yes,,,,,2025-07-18T11:00:29Z,2022,2022-01-01,2022-12-31
3088871,TOBACCO_MPOWER_E3_INDIRECTADBANSPLUS,COUNTRY,TON,WPR,Western Pacific,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E6b_ban_display_pt_of_sale,,,,,,,Yes,,,,,2025-07-18T11:00:29Z,2024,2024-01-01,2024-12-31
3094160,TOBACCO_MPOWER_E3_INDIRECTADBANSPLUS,COUNTRY,VNM,WPR,Western Pacific,YEAR,2008,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E23_vending_machines,,,,,,,No,,,,,2025-07-18T11:00:29Z,2008,2008-01-01,2008-12-31
3094355,TOBACCO_MPOWER_E3_INDIRECTADBANSPLUS,COUNTRY,BRN,WPR,Western Pacific,YEAR,2012,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E22_subnational_authority_exists,,,,,,,No,,,,,2025-07-18T11:00:29Z,2012,2012-01-01,2012-12-31
3094576,TOBACCO_MPOWER_E3_INDIRECTADBANSPLUS,COUNTRY,NGA,AFR,Africa,YEAR,2020,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E22_subnational_authority_exists,,,,,,,Yes,,,,,2025-07-18T11:00:29Z,2020,2020-01-01,2020-12-31
3094626,TOBACCO_MPOWER_E3_INDIRECTADBANSPLUS,COUNTRY,BHS,AMR,Americas,YEAR,2022,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E17b_csr_promo_self,,,,,,,No,,,,,2025-07-18T11:00:29Z,2022,2022-01-01,2022-12-31
3094937,TOBACCO_MPOWER_E3_INDIRECTADBANSPLUS,COUNTRY,SLV,AMR,Americas,YEAR,2014,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E23_vending_machines,,,,,,,Yes,,,,,2025-07-18T11:00:29Z,2014,2014-01-01,2014-12-31
3100437,TOBACCO_MPOWER_E3_INDIRECTADBANSPLUS,COUNTRY,TLS,SEAR,South-East Asia,YEAR,2014,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E24_internet_sales_ban,,,,,,,No,,,,,2025-07-18T11:00:29Z,2014,2014-01-01,2014-12-31
3101190,TOBACCO_MPOWER_E3_INDIRECTADBANSPLUS,COUNTRY,UGA,AFR,Africa,YEAR,2008,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E17c_csr_promo_others,,,,,,,No,,,,,2025-07-18T11:00:29Z,2008,2008-01-01,2008-12-31
3101694,TOBACCO_MPOWER_E3_INDIRECTADBANSPLUS,COUNTRY,AGO,AFR,Africa,YEAR,2007,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E22_subnational_authority_exists,,,,,,,No,,,,,2025-07-18T11:00:29Z,2007,2007-01-01,2007-12-31
3113054,TOBACCO_MPOWER_E3_INDIRECTADBANSPLUS,COUNTRY,IRN,EMR,Eastern Mediterranean,YEAR,2014,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E6b_ban_display_pt_of_sale,,,,,,,Yes,,,,,2025-07-18T11:00:29Z,2014,2014-01-01,2014-12-31
3119131,TOBACCO_MPOWER_E3_INDIRECTADBANSPLUS,COUNTRY,NPL,SEAR,South-East Asia,YEAR,2010,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E24_internet_sales_ban,,,,,,,No,,,,,2025-07-18T11:00:29Z,2010,2010-01-01,2010-12-31
3119234,TOBACCO_MPOWER_E3_INDIRECTADBANSPLUS,COUNTRY,MRT,AFR,Africa,YEAR,2010,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E22_subnational_authority_exists,,,,,,,No,,,,,2025-07-18T11:00:29Z,2010,2010-01-01,2010-12-31
3119423,TOBACCO_MPOWER_E3_INDIRECTADBANSPLUS,COUNTRY,MLI,AFR,Africa,YEAR,2010,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E6b_ban_display_pt_of_sale,,,,,,,No,,,,,2025-07-18T11:00:29Z,2010,2010-01-01,2010-12-31
3125553,TOBACCO_MPOWER_E3_INDIRECTADBANSPLUS,COUNTRY,AND,EUR,Europe,YEAR,2010,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E23_vending_machines,,,,,,,No,,,,,2025-07-18T11:00:29Z,2010,2010-01-01,2010-12-31
3126231,TOBACCO_MPOWER_E3_INDIRECTADBANSPLUS,COUNTRY,NGA,AFR,Africa,YEAR,2007,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E17c_csr_promo_others,,,,,,,No,,,,,2025-07-18T11:00:29Z,2007,2007-01-01,2007-12-31
3126746,TOBACCO_MPOWER_E3_INDIRECTADBANSPLUS,COUNTRY,ZMB,AFR,Africa,YEAR,2016,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E24_internet_sales_ban,,,,,,,No,,,,,2025-07-18T11:00:29Z,2016,2016-01-01,2016-12-31
3131668,TOBACCO_MPOWER_E3_INDIRECTADBANSPLUS,COUNTRY,SYC,AFR,Africa,YEAR,2012,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E6b_ban_display_pt_of_sale,,,,,,,No,,,,,2025-07-18T11:00:29Z,2012,2012-01-01,2012-12-31
3131861,TOBACCO_MPOWER_E3_INDIRECTADBANSPLUS,COUNTRY,PHL,WPR,Western Pacific,YEAR,2012,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E18_csr_anti_tobacco_media,,,,,,,No,,,,,2025-07-18T11:00:29Z,2012,2012-01-01,2012-12-31
3132310,TOBACCO_MPOWER_E3_INDIRECTADBANSPLUS,COUNTRY,NIC,AMR,Americas,YEAR,2018,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E18_csr_anti_tobacco_media,,,,,,,. . .,,,,,2025-07-18T11:00:29Z,2018,2018-01-01,2018-12-31
3138146,TOBACCO_MPOWER_E3_INDIRECTADBANSPLUS,COUNTRY,HND,AMR,Americas,YEAR,2014,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E6b_ban_display_pt_of_sale,,,,,,,No,,,,,2025-07-18T11:00:29Z,2014,2014-01-01,2014-12-31
3138396,TOBACCO_MPOWER_E3_INDIRECTADBANSPLUS,COUNTRY,SOM,EMR,Eastern Mediterranean,YEAR,2010,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E18_csr_anti_tobacco_media,,,,,,,No,,,,,2025-07-18T11:00:29Z,2010,2010-01-01,2010-12-31
3138515,TOBACCO_MPOWER_E3_INDIRECTADBANSPLUS,COUNTRY,SVN,EUR,Europe,YEAR,2010,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E17c_csr_promo_others,,,,,,,Yes,,,,,2025-07-18T11:00:29Z,2010,2010-01-01,2010-12-31
3144513,TOBACCO_MPOWER_E3_INDIRECTADBANSPLUS,COUNTRY,SAU,EMR,Eastern Mediterranean,YEAR,2022,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E18_csr_anti_tobacco_media,,,,,,,No,,,,,2025-07-18T11:00:29Z,2022,2022-01-01,2022-12-31
3145189,TOBACCO_MPOWER_E3_INDIRECTADBANSPLUS,COUNTRY,NER,AFR,Africa,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E6b_ban_display_pt_of_sale,,,,,,,No,,,,,2025-07-18T11:00:29Z,2024,2024-01-01,2024-12-31
3145988,TOBACCO_MPOWER_E3_INDIRECTADBANSPLUS,COUNTRY,SYC,AFR,Africa,YEAR,2018,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E24_internet_sales_ban,,,,,,,Yes,,,,,2025-07-18T11:00:29Z,2018,2018-01-01,2018-12-31
3150538,TOBACCO_MPOWER_E3_INDIRECTADBANSPLUS,COUNTRY,DOM,AMR,Americas,YEAR,2007,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E23_vending_machines,,,,,,,No,,,,,2025-07-18T11:00:29Z,2007,2007-01-01,2007-12-31
3151006,TOBACCO_MPOWER_E3_INDIRECTADBANSPLUS,COUNTRY,NZL,WPR,Western Pacific,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E23_vending_machines,,,,,,,No,,,,,2025-07-18T11:00:29Z,2024,2024-01-01,2024-12-31
3151346,TOBACCO_MPOWER_E3_INDIRECTADBANSPLUS,COUNTRY,IRN,EMR,Eastern Mediterranean,YEAR,2012,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E24_internet_sales_ban,,,,,,,Yes,,,,,2025-07-18T11:00:29Z,2012,2012-01-01,2012-12-31
3157218,TOBACCO_MPOWER_E3_INDIRECTADBANSPLUS,COUNTRY,ARE,EMR,Eastern Mediterranean,YEAR,2020,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E6b_ban_display_pt_of_sale,,,,,,,No,,,,,2025-07-18T11:00:29Z,2020,2020-01-01,2020-12-31
3157480,TOBACCO_MPOWER_E3_INDIRECTADBANSPLUS,COUNTRY,IRL,EUR,Europe,YEAR,2016,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E6b_ban_display_pt_of_sale,,,,,,,Yes,,,,,2025-07-18T11:00:29Z,2016,2016-01-01,2016-12-31
3158050,TOBACCO_MPOWER_E3_INDIRECTADBANSPLUS,COUNTRY,ECU,AMR,Americas,YEAR,2010,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E6b_ban_display_pt_of_sale,,,,,,,No,,,,,2025-07-18T11:00:29Z,2010,2010-01-01,2010-12-31
3164179,TOBACCO_MPOWER_E3_INDIRECTADBANSPLUS,COUNTRY,CAN,AMR,Americas,YEAR,2016,TOBACCO_INDICATOR,TOBACCO_INDICATOR_E18_csr_anti_tobacco_media,,,,,,,No,,,,,2025-07-18T11:00:29Z,2016,2016-01-01,2016-12-31
