Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
2951502,TOBACCO_MPOWER_M2_SMOKELESSECIGARETTES,COUNTRY,BGD,SEAR,South-East Asia,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Adult_nonsmoked_age_grp,,,,,,,18-69,,,,,2025-07-24T14:32:31Z,2024,2024-01-01,2024-12-31
2981923,TOBACCO_MPOWER_M2_SMOKELESSECIGARETTES,COUNTRY,BRN,WPR,Western Pacific,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Adult_nonsmoked_national,,,,,,,National,,,,,2025-07-24T14:32:31Z,2024,2024-01-01,2024-12-31
2982535,TOBACCO_MPOWER_M2_SMOKELESSECIGARETTES,COUNTRY,SGP,WPR,Western Pacific,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Adult_nonsmoked_national,,,,,,,. . .,,,,,2025-07-24T14:32:31Z,2024,2024-01-01,2024-12-31
2990697,TOBACCO_MPOWER_M2_SMOKELESSECIGARETTES,COUNTRY,BRN,WPR,Western Pacific,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Adult_nonsmoked_svy_title,,,,,,,STEPS Survey (preliminary results),,,,,2025-07-24T14:32:31Z,2024,2024-01-01,2024-12-31
2995673,TOBACCO_MPOWER_M2_SMOKELESSECIGARETTES,COUNTRY,LBN,EMR,Eastern Mediterranean,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Adult_nonsmoked_age_grp,,,,,,,18-69,,,,,2025-07-24T14:32:31Z,2024,2024-01-01,2024-12-31
3009434,TOBACCO_MPOWER_M2_SMOKELESSECIGARETTES,COUNTRY,BHR,EMR,Eastern Mediterranean,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Adult_nonsmoked_national,,,,,,,. . .,,,,,2025-07-24T14:32:31Z,2024,2024-01-01,2024-12-31
3009774,TOBACCO_MPOWER_M2_SMOKELESSECIGARETTES,COUNTRY,IDN,WPR,Western Pacific,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Adult_nonsmoked_national,,,,,,,National,,,,,2025-07-24T14:32:31Z,2024,2024-01-01,2024-12-31
3024604,TOBACCO_MPOWER_M2_SMOKELESSECIGARETTES,COUNTRY,BRB,AMR,Americas,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Adult_nonsmoked_age_grp,,,,,,,25+,,,,,2025-07-24T14:32:31Z,2024,2024-01-01,2024-12-31
3056553,TOBACCO_MPOWER_M2_SMOKELESSECIGARETTES,COUNTRY,LAO,WPR,Western Pacific,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Adult_nonsmoked_svy_title,,,,,,,National Adult Tobacco Survey,,,,,2025-07-24T14:32:31Z,2024,2024-01-01,2024-12-31
3058892,TOBACCO_MPOWER_M2_SMOKELESSECIGARETTES,COUNTRY,BHR,EMR,Eastern Mediterranean,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Adult_nonsmoked_age_grp,,,,,,,. . .,,,,,2025-07-24T14:32:31Z,2024,2024-01-01,2024-12-31
