Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
2957206,TOBACCO_MPOWER_M3_TOBACCOUSESMOKINGSCHOOL,COUNTRY,CZE,EUR,Europe,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Youth_survey_title,,,,,,,Global Youth Tobacco Survey,,,,,2025-07-24T14:32:31Z,2024,2024-01-01,2024-12-31
2969199,TOBACCO_MPOWER_M3_TOBACCOUSESMOKINGSCHOOL,COUNTRY,TZA,AFR,Africa,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Youth_svy_age_range,,,,,,,13-15,,,,,2025-07-24T14:32:31Z,2024,2024-01-01,2024-12-31
2975377,TOBACCO_MPOWER_M3_TOBACCOUSESMOKINGSCHOOL,COUNTRY,KEN,AFR,Africa,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Youth_svy_yr,,,,,,,2013,2013,,,,2025-07-24T14:32:31Z,2024,2024-01-01,2024-12-31
3004126,TOBACCO_MPOWER_M3_TOBACCOUSESMOKINGSCHOOL,COUNTRY,SSD,AFR,Africa,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Youth_survey_title,,,,,,,. . .,,,,,2025-07-24T14:32:31Z,2024,2024-01-01,2024-12-31
3004913,TOBACCO_MPOWER_M3_TOBACCOUSESMOKINGSCHOOL,COUNTRY,USA,AMR,Americas,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Youth_survey_title,,,,,,,National Youth Tobacco Survey,,,,,2025-07-24T14:32:31Z,2024,2024-01-01,2024-12-31
3009248,TOBACCO_MPOWER_M3_TOBACCOUSESMOKINGSCHOOL,COUNTRY,MKD,EUR,Europe,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Youth_svy_age_range,,,,,,,15-15,,,,,2025-07-24T14:32:31Z,2024,2024-01-01,2024-12-31
3022637,TOBACCO_MPOWER_M3_TOBACCOUSESMOKINGSCHOOL,COUNTRY,BRN,WPR,Western Pacific,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Youth_svy_national,,,,,,,National,,,,,2025-07-24T14:32:31Z,2024,2024-01-01,2024-12-31
3030714,TOBACCO_MPOWER_M3_TOBACCOUSESMOKINGSCHOOL,COUNTRY,BLR,EUR,Europe,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Youth_svy_age_range,,,,,,,13-15,,,,,2025-07-24T14:32:31Z,2024,2024-01-01,2024-12-31
3054989,TOBACCO_MPOWER_M3_TOBACCOUSESMOKINGSCHOOL,COUNTRY,VCT,AMR,Americas,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Youth_svy_yr,,,,,,,2018,2018,,,,2025-07-24T14:32:31Z,2024,2024-01-01,2024-12-31
3058056,TOBACCO_MPOWER_M3_TOBACCOUSESMOKINGSCHOOL,COUNTRY,GRC,EUR,Europe,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Youth_svy_yr,,,,,,,2023,2023,,,,2025-07-24T14:32:31Z,2024,2024-01-01,2024-12-31
