Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
2957878,TOBACCO_MPOWER_M4_SMOKELESSECIGARETTESSCHOOL,COUNTRY,FRA,EUR,Europe,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Yth_nonsmoked_age_grp,,,,,,,15-15,,,,,2025-07-24T14:32:31Z,2024,2024-01-01,2024-12-31
2973700,TOBACCO_MPOWER_M4_SMOKELESSECIGARETTESSCHOOL,COUNTRY,ZWE,AFR,Africa,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Yth_nonsmoked_national,,,,,,,National,,,,,2025-07-24T14:32:31Z,2024,2024-01-01,2024-12-31
2976219,TOBACCO_MPOWER_M4_SMOKELESSECIGARETTESSCHOOL,COUNTRY,SMR,EUR,Europe,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Yth_nonsmoked_age_grp,,,,,,,13-15,,,,,2025-07-24T14:32:31Z,2024,2024-01-01,2024-12-31
3018385,TOBACCO_MPOWER_M4_SMOKELESSECIGARETTESSCHOOL,COUNTRY,ARE,EMR,Eastern Mediterranean,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Yth_nonsmoked_age_grp,,,,,,,13-15,,,,,2025-07-24T14:32:31Z,2024,2024-01-01,2024-12-31
3042781,TOBACCO_MPOWER_M4_SMOKELESSECIGARETTESSCHOOL,COUNTRY,HUN,EUR,Europe,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Yth_nonsmoked_svy_title,,,,,,,Health Behaviour in School-aged Children,,,,,2025-07-24T14:32:31Z,2024,2024-01-01,2024-12-31
3056298,TOBACCO_MPOWER_M4_SMOKELESSECIGARETTESSCHOOL,COUNTRY,MYS,WPR,Western Pacific,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Yth_nonsmoked_age_grp,,,,,,,13-17,,,,,2025-07-24T14:32:31Z,2024,2024-01-01,2024-12-31
3067733,TOBACCO_MPOWER_M4_SMOKELESSECIGARETTESSCHOOL,COUNTRY,UKR,EUR,Europe,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Yth_nonsmoked_svy_yr,,,,,,,2019,2019,,,,2025-07-24T14:32:31Z,2024,2024-01-01,2024-12-31
3071066,TOBACCO_MPOWER_M4_SMOKELESSECIGARETTESSCHOOL,COUNTRY,UGA,AFR,Africa,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Yth_nonsmoked_svy_yr,,,,,,,2018,2018,,,,2025-07-24T14:32:31Z,2024,2024-01-01,2024-12-31
3085024,TOBACCO_MPOWER_M4_SMOKELESSECIGARETTESSCHOOL,COUNTRY,MOZ,AFR,Africa,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Yth_nonsmoked_age_grp,,,,,,,13-15,,,,,2025-07-24T14:32:31Z,2024,2024-01-01,2024-12-31
3092309,TOBACCO_MPOWER_M4_SMOKELESSECIGARETTESSCHOOL,COUNTRY,SDN,EMR,Eastern Mediterranean,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Yth_nonsmoked_national,,,,,,,National,,,,,2025-07-24T14:32:31Z,2024,2024-01-01,2024-12-31
3095232,TOBACCO_MPOWER_M4_SMOKELESSECIGARETTESSCHOOL,COUNTRY,GRD,AMR,Americas,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Yth_nonsmoked_age_grp,,,,,,,13-15,,,,,2025-07-24T14:32:31Z,2024,2024-01-01,2024-12-31
3095291,TOBACCO_MPOWER_M4_SMOKELESSECIGARETTESSCHOOL,COUNTRY,DZA,AFR,Africa,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Yth_nonsmoked_svy_yr,,,,,,,2013,2013,,,,2025-07-24T14:32:31Z,2024,2024-01-01,2024-12-31
3108372,TOBACCO_MPOWER_M4_SMOKELESSECIGARETTESSCHOOL,COUNTRY,CPV,AFR,Africa,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Yth_nonsmoked_svy_title,,,,,,,Global Youth Tobacco Survey,,,,,2025-07-24T14:32:31Z,2024,2024-01-01,2024-12-31
3118572,TOBACCO_MPOWER_M4_SMOKELESSECIGARETTESSCHOOL,COUNTRY,YEM,EMR,Eastern Mediterranean,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Yth_nonsmoked_svy_yr,,,,,,,2014,2014,,,,2025-07-24T14:32:31Z,2024,2024-01-01,2024-12-31
3123798,TOBACCO_MPOWER_M4_SMOKELESSECIGARETTESSCHOOL,COUNTRY,CUB,AMR,Americas,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Yth_nonsmoked_svy_yr,,,,,,,2018,2018,,,,2025-07-24T14:32:31Z,2024,2024-01-01,2024-12-31
3133911,TOBACCO_MPOWER_M4_SMOKELESSECIGARETTESSCHOOL,COUNTRY,VNM,WPR,Western Pacific,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Yth_nonsmoked_svy_yr,,,,,,,2022,2022,,,,2025-07-24T14:32:31Z,2024,2024-01-01,2024-12-31
3137556,TOBACCO_MPOWER_M4_SMOKELESSECIGARETTESSCHOOL,COUNTRY,ARG,AMR,Americas,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Yth_nonsmoked_svy_title,,,,,,,Global Youth Tobacco Survey,,,,,2025-07-24T14:32:31Z,2024,2024-01-01,2024-12-31
3183827,TOBACCO_MPOWER_M4_SMOKELESSECIGARETTESSCHOOL,COUNTRY,SLV,AMR,Americas,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Yth_nonsmoked_svy_yr,,,,,,,2021,2021,,,,2025-07-24T14:32:31Z,2024,2024-01-01,2024-12-31
3218833,TOBACCO_MPOWER_M4_SMOKELESSECIGARETTESSCHOOL,COUNTRY,ARM,EUR,Europe,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Yth_nonsmoked_svy_title,,,,,,,Health Behaviour in School-aged Children,,,,,2025-07-24T14:32:31Z,2024,2024-01-01,2024-12-31
3224271,TOBACCO_MPOWER_M4_SMOKELESSECIGARETTESSCHOOL,COUNTRY,SYC,AFR,Africa,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Yth_nonsmoked_svy_title,,,,,,,Global Youth Tobacco Survey,,,,,2025-07-24T14:32:31Z,2024,2024-01-01,2024-12-31
3227583,TOBACCO_MPOWER_M4_SMOKELESSECIGARETTESSCHOOL,COUNTRY,DMA,AMR,Americas,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Yth_nonsmoked_age_grp,,,,,,,13-15,,,,,2025-07-24T14:32:31Z,2024,2024-01-01,2024-12-31
3230818,TOBACCO_MPOWER_M4_SMOKELESSECIGARETTESSCHOOL,COUNTRY,ALB,EUR,Europe,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Yth_nonsmoked_svy_yr,,,,,,,2021-22,,,,,2025-07-24T14:32:31Z,2024,2024-01-01,2024-12-31
3240710,TOBACCO_MPOWER_M4_SMOKELESSECIGARETTESSCHOOL,COUNTRY,VEN,AMR,Americas,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Yth_nonsmoked_national,,,,,,,National,,,,,2025-07-24T14:32:31Z,2024,2024-01-01,2024-12-31
3251549,TOBACCO_MPOWER_M4_SMOKELESSECIGARETTESSCHOOL,COUNTRY,MOZ,AFR,Africa,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Yth_nonsmoked_svy_yr,,,,,,,2013,2013,,,,2025-07-24T14:32:31Z,2024,2024-01-01,2024-12-31
3280107,TOBACCO_MPOWER_M4_SMOKELESSECIGARETTESSCHOOL,COUNTRY,PAK,EMR,Eastern Mediterranean,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Yth_nonsmoked_svy_title,,,,,,,Global Youth Tobacco Survey,,,,,2025-07-24T14:32:31Z,2024,2024-01-01,2024-12-31
3284430,TOBACCO_MPOWER_M4_SMOKELESSECIGARETTESSCHOOL,COUNTRY,KNA,AMR,Americas,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Yth_nonsmoked_svy_title,,,,,,,Global Youth Tobacco Survey,,,,,2025-07-24T14:32:31Z,2024,2024-01-01,2024-12-31
3294413,TOBACCO_MPOWER_M4_SMOKELESSECIGARETTESSCHOOL,COUNTRY,BGR,EUR,Europe,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Yth_nonsmoked_svy_yr,,,,,,,2023,2023,,,,2025-07-24T14:32:31Z,2024,2024-01-01,2024-12-31
3300589,TOBACCO_MPOWER_M4_SMOKELESSECIGARETTESSCHOOL,COUNTRY,IRQ,EMR,Eastern Mediterranean,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Yth_nonsmoked_national,,,,,,,National,,,,,2025-07-24T14:32:31Z,2024,2024-01-01,2024-12-31
3302621,TOBACCO_MPOWER_M4_SMOKELESSECIGARETTESSCHOOL,COUNTRY,SYR,EMR,Eastern Mediterranean,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Yth_nonsmoked_svy_yr,,,,,,,. . .,,,,,2025-07-24T14:32:31Z,2024,2024-01-01,2024-12-31
3340502,TOBACCO_MPOWER_M4_SMOKELESSECIGARETTESSCHOOL,COUNTRY,BRB,AMR,Americas,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Yth_nonsmoked_svy_title,,,,,,,Global Youth Tobacco Survey,,,,,2025-07-24T14:32:31Z,2024,2024-01-01,2024-12-31
3347762,TOBACCO_MPOWER_M4_SMOKELESSECIGARETTESSCHOOL,COUNTRY,KEN,AFR,Africa,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Yth_nonsmoked_svy_yr,,,,,,,2013,2013,,,,2025-07-24T14:32:31Z,2024,2024-01-01,2024-12-31
3358316,TOBACCO_MPOWER_M4_SMOKELESSECIGARETTESSCHOOL,COUNTRY,DZA,AFR,Africa,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Yth_nonsmoked_national,,,,,,,National,,,,,2025-07-24T14:32:31Z,2024,2024-01-01,2024-12-31
3371977,TOBACCO_MPOWER_M4_SMOKELESSECIGARETTESSCHOOL,COUNTRY,CAN,AMR,Americas,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Yth_nonsmoked_national,,,,,,,National,,,,,2025-07-24T14:32:31Z,2024,2024-01-01,2024-12-31
3375079,TOBACCO_MPOWER_M4_SMOKELESSECIGARETTESSCHOOL,COUNTRY,USA,AMR,Americas,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Yth_nonsmoked_svy_title,,,,,,,National Youth Tobacco Survey,,,,,2025-07-24T14:32:31Z,2024,2024-01-01,2024-12-31
3383469,TOBACCO_MPOWER_M4_SMOKELESSECIGARETTESSCHOOL,COUNTRY,ALB,EUR,Europe,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Yth_nonsmoked_national,,,,,,,National,,,,,2025-07-24T14:32:31Z,2024,2024-01-01,2024-12-31
3386438,TOBACCO_MPOWER_M4_SMOKELESSECIGARETTESSCHOOL,COUNTRY,SDN,EMR,Eastern Mediterranean,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Yth_nonsmoked_svy_yr,,,,,,,2014,2014,,,,2025-07-24T14:32:31Z,2024,2024-01-01,2024-12-31
3395966,TOBACCO_MPOWER_M4_SMOKELESSECIGARETTESSCHOOL,COUNTRY,STP,AFR,Africa,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Yth_nonsmoked_national,,,,,,,. . .,,,,,2025-07-24T14:32:31Z,2024,2024-01-01,2024-12-31
3400751,TOBACCO_MPOWER_M4_SMOKELESSECIGARETTESSCHOOL,COUNTRY,CAF,AFR,Africa,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Yth_nonsmoked_national,,,,,,,Subnational,,,,,2025-07-24T14:32:31Z,2024,2024-01-01,2024-12-31
3402776,TOBACCO_MPOWER_M4_SMOKELESSECIGARETTESSCHOOL,COUNTRY,SYC,AFR,Africa,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Yth_nonsmoked_age_grp,,,,,,,13-15,,,,,2025-07-24T14:32:31Z,2024,2024-01-01,2024-12-31
3406529,TOBACCO_MPOWER_M4_SMOKELESSECIGARETTESSCHOOL,COUNTRY,MNG,WPR,Western Pacific,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Yth_nonsmoked_age_grp,,,,,,,13-17,,,,,2025-07-24T14:32:31Z,2024,2024-01-01,2024-12-31
3418079,TOBACCO_MPOWER_M4_SMOKELESSECIGARETTESSCHOOL,COUNTRY,TLS,SEAR,South-East Asia,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Yth_nonsmoked_svy_yr,,,,,,,2019,2019,,,,2025-07-24T14:32:31Z,2024,2024-01-01,2024-12-31
3491425,TOBACCO_MPOWER_M4_SMOKELESSECIGARETTESSCHOOL,COUNTRY,LBR,AFR,Africa,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Yth_nonsmoked_svy_yr,,,,,,,2008,2008,,,,2025-07-24T14:32:31Z,2024,2024-01-01,2024-12-31
3493233,TOBACCO_MPOWER_M4_SMOKELESSECIGARETTESSCHOOL,COUNTRY,PRY,AMR,Americas,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Yth_nonsmoked_svy_title,,,,,,,Global Youth Tobacco Survey,,,,,2025-07-24T14:32:31Z,2024,2024-01-01,2024-12-31
3496011,TOBACCO_MPOWER_M4_SMOKELESSECIGARETTESSCHOOL,COUNTRY,AUT,EUR,Europe,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Yth_nonsmoked_age_grp,,,,,,,15-16,,,,,2025-07-24T14:32:31Z,2024,2024-01-01,2024-12-31
3536914,TOBACCO_MPOWER_M4_SMOKELESSECIGARETTESSCHOOL,COUNTRY,TUN,EMR,Eastern Mediterranean,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Yth_nonsmoked_svy_title,,,,,,,Global Youth Tobacco Survey,,,,,2025-07-24T14:32:31Z,2024,2024-01-01,2024-12-31
3537401,TOBACCO_MPOWER_M4_SMOKELESSECIGARETTESSCHOOL,COUNTRY,DOM,AMR,Americas,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Yth_nonsmoked_national,,,,,,,National,,,,,2025-07-24T14:32:31Z,2024,2024-01-01,2024-12-31
3537402,TOBACCO_MPOWER_M4_SMOKELESSECIGARETTESSCHOOL,COUNTRY,PRT,EUR,Europe,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Yth_nonsmoked_national,,,,,,,National,,,,,2025-07-24T14:32:31Z,2024,2024-01-01,2024-12-31
3546752,TOBACCO_MPOWER_M4_SMOKELESSECIGARETTESSCHOOL,COUNTRY,PAN,AMR,Americas,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Yth_nonsmoked_svy_title,,,,,,,Global Youth Tobacco Survey,,,,,2025-07-24T14:32:31Z,2024,2024-01-01,2024-12-31
3551770,TOBACCO_MPOWER_M4_SMOKELESSECIGARETTESSCHOOL,COUNTRY,CAN,AMR,Americas,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Yth_nonsmoked_svy_yr,,,,,,,2021-22,,,,,2025-07-24T14:32:31Z,2024,2024-01-01,2024-12-31
3571318,TOBACCO_MPOWER_M4_SMOKELESSECIGARETTESSCHOOL,COUNTRY,HRV,EUR,Europe,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Yth_nonsmoked_svy_title,,,,,,,Health Behaviour in School-aged Children,,,,,2025-07-24T14:32:31Z,2024,2024-01-01,2024-12-31
3576124,TOBACCO_MPOWER_M4_SMOKELESSECIGARETTESSCHOOL,COUNTRY,CPV,AFR,Africa,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Yth_nonsmoked_national,,,,,,,National,,,,,2025-07-24T14:32:31Z,2024,2024-01-01,2024-12-31
3588053,TOBACCO_MPOWER_M4_SMOKELESSECIGARETTESSCHOOL,COUNTRY,MRT,AFR,Africa,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Yth_nonsmoked_national,,,,,,,National,,,,,2025-07-24T14:32:31Z,2024,2024-01-01,2024-12-31
3594855,TOBACCO_MPOWER_M4_SMOKELESSECIGARETTESSCHOOL,COUNTRY,KEN,AFR,Africa,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Yth_nonsmoked_age_grp,,,,,,,13-15,,,,,2025-07-24T14:32:31Z,2024,2024-01-01,2024-12-31
3595688,TOBACCO_MPOWER_M4_SMOKELESSECIGARETTESSCHOOL,COUNTRY,LSO,AFR,Africa,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Yth_nonsmoked_age_grp,,,,,,,13-15,,,,,2025-07-24T14:32:31Z,2024,2024-01-01,2024-12-31
3600581,TOBACCO_MPOWER_M4_SMOKELESSECIGARETTESSCHOOL,COUNTRY,IRQ,EMR,Eastern Mediterranean,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Yth_nonsmoked_svy_yr,,,,,,,2019,2019,,,,2025-07-24T14:32:31Z,2024,2024-01-01,2024-12-31
