Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
2948347,TOBACCO_MPOWER_O1_TREATMENTSUPPORT,COUNTRY,QAT,EMR,Eastern Mediterranean,YEAR,2008,TOBACCO_INDICATOR,TOBACCO_INDICATOR_O_Avail_other,,,,,,,No,,,,,2025-07-05T11:12:49Z,2008,2008-01-01,2008-12-31
2948960,TOBACCO_MPOWER_O1_TREATMENTSUPPORT,COUNTRY,ZAF,AFR,Africa,YEAR,2014,TOBACCO_INDICATOR,TOBACCO_INDICATOR_O_Quitline,,,,,,,No,,,,,2025-07-05T11:12:49Z,2014,2014-01-01,2014-12-31
2949318,TOBACCO_MPOWER_O1_TREATMENTSUPPORT,COUNTRY,VUT,WPR,Western Pacific,YEAR,2022,TOBACCO_INDICATOR,TOBACCO_INDICATOR_O_Avail_off_hlth_prof,,,,,,,No,,,,,2025-07-05T11:12:49Z,2022,2022-01-01,2022-12-31
2949929,TOBACCO_MPOWER_O1_TREATMENTSUPPORT,COUNTRY,MEX,AMR,Americas,YEAR,2008,TOBACCO_INDICATOR,TOBACCO_INDICATOR_O_Avail_community,,,,,,,Yes in some,,,,,2025-07-05T11:12:49Z,2008,2008-01-01,2008-12-31
2950116,TOBACCO_MPOWER_O1_TREATMENTSUPPORT,COUNTRY,AND,EUR,Europe,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_O_Ins_hlth_clin,,,,,,,—,,,,,2025-07-05T11:12:49Z,2024,2024-01-01,2024-12-31
2950175,TOBACCO_MPOWER_O1_TREATMENTSUPPORT,COUNTRY,SLE,AFR,Africa,YEAR,2008,TOBACCO_INDICATOR,TOBACCO_INDICATOR_O_Ins_community,,,,,,,—,,,,,2025-07-05T11:12:49Z,2008,2008-01-01,2008-12-31
2950618,TOBACCO_MPOWER_O1_TREATMENTSUPPORT,COUNTRY,CHE,EUR,Europe,YEAR,2010,TOBACCO_INDICATOR,TOBACCO_INDICATOR_O_Avail_hlth_clin,,,,,,,Yes in some,,,,,2025-07-05T11:12:49Z,2010,2010-01-01,2010-12-31
2950729,TOBACCO_MPOWER_O1_TREATMENTSUPPORT,COUNTRY,TUN,EMR,Eastern Mediterranean,YEAR,2014,TOBACCO_INDICATOR,TOBACCO_INDICATOR_O_Ins_other,,,,,,,Partially,,,,,2025-07-05T11:12:49Z,2014,2014-01-01,2014-12-31
2950783,TOBACCO_MPOWER_O1_TREATMENTSUPPORT,COUNTRY,ARE,EMR,Eastern Mediterranean,YEAR,2010,TOBACCO_INDICATOR,TOBACCO_INDICATOR_O_Avail_other,,,,,,,No,,,,,2025-07-05T11:12:49Z,2010,2010-01-01,2010-12-31
2951423,TOBACCO_MPOWER_O1_TREATMENTSUPPORT,COUNTRY,COL,AMR,Americas,YEAR,2018,TOBACCO_INDICATOR,TOBACCO_INDICATOR_O_Ins_community,,,,,,,—,,,,,2025-07-05T11:12:49Z,2018,2018-01-01,2018-12-31
2951534,TOBACCO_MPOWER_O1_TREATMENTSUPPORT,COUNTRY,GNQ,AFR,Africa,YEAR,2018,TOBACCO_INDICATOR,TOBACCO_INDICATOR_O_Avail_off_hlth_prof,,,,,,,No,,,,,2025-07-05T11:12:49Z,2018,2018-01-01,2018-12-31
