Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
2948158,TOBACCO_MPOWER_O2_MEDICATIONAVAILABILITY,COUNTRY,YEM,EMR,Eastern Mediterranean,YEAR,2010,TOBACCO_INDICATOR,TOBACCO_INDICATOR_O_NRT_where,,,,,,,—,,,,,2025-07-05T11:12:49Z,2010,2010-01-01,2010-12-31
2948168,TOBACCO_MPOWER_O2_MEDICATIONAVAILABILITY,COUNTRY,SEN,AFR,Africa,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_O_Cytisine_ins,,,,,,,—,,,,,2025-07-05T11:12:49Z,2024,2024-01-01,2024-12-31
2948251,TOBACCO_MPOWER_O2_MEDICATIONAVAILABILITY,COUNTRY,BDI,AFR,Africa,YEAR,2022,TOBACCO_INDICATOR,TOBACCO_INDICATOR_O_Cytisine_sold,,,,,,,No,,,,,2025-07-05T11:12:49Z,2022,2022-01-01,2022-12-31
2948499,TOBACCO_MPOWER_O2_MEDICATIONAVAILABILITY,COUNTRY,AUS,WPR,Western Pacific,YEAR,2007,TOBACCO_INDICATOR,TOBACCO_INDICATOR_O_NRT_ins,,,,,,,Partially,,,,,2025-07-05T11:12:49Z,2007,2007-01-01,2007-12-31
2948824,TOBACCO_MPOWER_O2_MEDICATIONAVAILABILITY,COUNTRY,PHL,WPR,Western Pacific,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_O_Bup_ins,,,,,,,No,,,,,2025-07-05T11:12:49Z,2024,2024-01-01,2024-12-31
2948870,TOBACCO_MPOWER_O2_MEDICATIONAVAILABILITY,COUNTRY,SYC,AFR,Africa,YEAR,2020,TOBACCO_INDICATOR,TOBACCO_INDICATOR_O_Bup_sold,,,,,,,Yes,,,,,2025-07-05T11:12:49Z,2020,2020-01-01,2020-12-31
2949641,TOBACCO_MPOWER_O2_MEDICATIONAVAILABILITY,COUNTRY,MRT,AFR,Africa,YEAR,2007,TOBACCO_INDICATOR,TOBACCO_INDICATOR_O_Bup_where,,,,,,,—,,,,,2025-07-05T11:12:49Z,2007,2007-01-01,2007-12-31
2949892,TOBACCO_MPOWER_O2_MEDICATIONAVAILABILITY,COUNTRY,SMR,EUR,Europe,YEAR,2016,TOBACCO_INDICATOR,TOBACCO_INDICATOR_O_Cytisine_where,,,,,,,. . .,,,,,2025-07-05T11:12:49Z,2016,2016-01-01,2016-12-31
2950053,TOBACCO_MPOWER_O2_MEDICATIONAVAILABILITY,COUNTRY,DZA,AFR,Africa,YEAR,2016,TOBACCO_INDICATOR,TOBACCO_INDICATOR_O_Cytisine_where,,,,,,,. . .,,,,,2025-07-05T11:12:49Z,2016,2016-01-01,2016-12-31
2950120,TOBACCO_MPOWER_O2_MEDICATIONAVAILABILITY,COUNTRY,COD,AFR,Africa,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_O_NRT_ins,,,,,,,—,,,,,2025-07-05T11:12:49Z,2024,2024-01-01,2024-12-31
2951105,TOBACCO_MPOWER_O2_MEDICATIONAVAILABILITY,COUNTRY,VEN,AMR,Americas,YEAR,2010,TOBACCO_INDICATOR,TOBACCO_INDICATOR_O_Varen_ins,,,,,,,Fully,,,,,2025-07-05T11:12:49Z,2010,2010-01-01,2010-12-31
2951305,TOBACCO_MPOWER_O2_MEDICATIONAVAILABILITY,COUNTRY,GBR,EUR,Europe,YEAR,2022,TOBACCO_INDICATOR,TOBACCO_INDICATOR_O_Varen_ins,,,,,,,Partially,,,,,2025-07-05T11:12:49Z,2022,2022-01-01,2022-12-31
2951326,TOBACCO_MPOWER_O2_MEDICATIONAVAILABILITY,COUNTRY,FSM,WPR,Western Pacific,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_O_Cytisine_sold,,,,,,,No,,,,,2025-07-05T11:12:49Z,2024,2024-01-01,2024-12-31
2951739,TOBACCO_MPOWER_O2_MEDICATIONAVAILABILITY,COUNTRY,EGY,EMR,Eastern Mediterranean,YEAR,2018,TOBACCO_INDICATOR,TOBACCO_INDICATOR_O_Varen_where,,,,,,,—,,,,,2025-07-05T11:12:49Z,2018,2018-01-01,2018-12-31
2951876,TOBACCO_MPOWER_O2_MEDICATIONAVAILABILITY,COUNTRY,MHL,WPR,Western Pacific,YEAR,2010,TOBACCO_INDICATOR,TOBACCO_INDICATOR_O_NRT_sold,,,,,,,Yes,,,,,2025-07-05T11:12:49Z,2010,2010-01-01,2010-12-31
2952131,TOBACCO_MPOWER_O2_MEDICATIONAVAILABILITY,COUNTRY,KEN,AFR,Africa,YEAR,2008,TOBACCO_INDICATOR,TOBACCO_INDICATOR_O_NRT_where,,,,,,,In a pharmacy without a prescription,,,,,2025-07-05T11:12:49Z,2008,2008-01-01,2008-12-31
2952196,TOBACCO_MPOWER_O2_MEDICATIONAVAILABILITY,COUNTRY,LKA,SEAR,South-East Asia,YEAR,2020,TOBACCO_INDICATOR,TOBACCO_INDICATOR_O_Bup_sold,,,,,,,No,,,,,2025-07-05T11:12:49Z,2020,2020-01-01,2020-12-31
2952210,TOBACCO_MPOWER_O2_MEDICATIONAVAILABILITY,COUNTRY,DNK,EUR,Europe,YEAR,2018,TOBACCO_INDICATOR,TOBACCO_INDICATOR_O_Bup_sold,,,,,,,Yes,,,,,2025-07-05T11:12:49Z,2018,2018-01-01,2018-12-31
2952224,TOBACCO_MPOWER_O2_MEDICATIONAVAILABILITY,COUNTRY,ERI,AFR,Africa,YEAR,2020,TOBACCO_INDICATOR,TOBACCO_INDICATOR_O_NRT_ins,,,,,,,—,,,,,2025-07-05T11:12:49Z,2020,2020-01-01,2020-12-31
2952239,TOBACCO_MPOWER_O2_MEDICATIONAVAILABILITY,COUNTRY,SAU,EMR,Eastern Mediterranean,YEAR,2016,TOBACCO_INDICATOR,TOBACCO_INDICATOR_O_Bup_where,,,,,,,In a pharmacy with a prescription,,,,,2025-07-05T11:12:49Z,2016,2016-01-01,2016-12-31
2952576,TOBACCO_MPOWER_O2_MEDICATIONAVAILABILITY,COUNTRY,MWI,AFR,Africa,YEAR,2008,TOBACCO_INDICATOR,TOBACCO_INDICATOR_O_Bup_ins,,,,,,,—,,,,,2025-07-05T11:12:49Z,2008,2008-01-01,2008-12-31
2953052,TOBACCO_MPOWER_O2_MEDICATIONAVAILABILITY,COUNTRY,TUN,EMR,Eastern Mediterranean,YEAR,2010,TOBACCO_INDICATOR,TOBACCO_INDICATOR_O_Bup_sold,,,,,,,No,,,,,2025-07-05T11:12:49Z,2010,2010-01-01,2010-12-31
2953095,TOBACCO_MPOWER_O2_MEDICATIONAVAILABILITY,COUNTRY,LTU,EUR,Europe,YEAR,2018,TOBACCO_INDICATOR,TOBACCO_INDICATOR_O_Bup_sold,,,,,,,Yes,,,,,2025-07-05T11:12:49Z,2018,2018-01-01,2018-12-31
2953579,TOBACCO_MPOWER_O2_MEDICATIONAVAILABILITY,COUNTRY,ESP,EUR,Europe,YEAR,2008,TOBACCO_INDICATOR,TOBACCO_INDICATOR_O_Bup_sold,,,,,,,Yes,,,,,2025-07-05T11:12:49Z,2008,2008-01-01,2008-12-31
2953623,TOBACCO_MPOWER_O2_MEDICATIONAVAILABILITY,COUNTRY,CMR,AFR,Africa,YEAR,2016,TOBACCO_INDICATOR,TOBACCO_INDICATOR_O_Cytisine_where,,,,,,,. . .,,,,,2025-07-05T11:12:49Z,2016,2016-01-01,2016-12-31
2954444,TOBACCO_MPOWER_O2_MEDICATIONAVAILABILITY,COUNTRY,FIN,EUR,Europe,YEAR,2012,TOBACCO_INDICATOR,TOBACCO_INDICATOR_O_Cytisine_sold,,,,,,,. . .,,,,,2025-07-05T11:12:49Z,2012,2012-01-01,2012-12-31
2954903,TOBACCO_MPOWER_O2_MEDICATIONAVAILABILITY,COUNTRY,TCD,AFR,Africa,YEAR,2010,TOBACCO_INDICATOR,TOBACCO_INDICATOR_O_NRT_where,,,,,,,—,,,,,2025-07-05T11:12:49Z,2010,2010-01-01,2010-12-31
2955201,TOBACCO_MPOWER_O2_MEDICATIONAVAILABILITY,COUNTRY,SLE,AFR,Africa,YEAR,2014,TOBACCO_INDICATOR,TOBACCO_INDICATOR_O_NRT_sold,,,,,,,No,,,,,2025-07-05T11:12:49Z,2014,2014-01-01,2014-12-31
2955892,TOBACCO_MPOWER_O2_MEDICATIONAVAILABILITY,COUNTRY,DOM,AMR,Americas,YEAR,2008,TOBACCO_INDICATOR,TOBACCO_INDICATOR_O_NRT_EML,,,,,,,. . .,,,,,2025-07-05T11:12:49Z,2008,2008-01-01,2008-12-31
2955905,TOBACCO_MPOWER_O2_MEDICATIONAVAILABILITY,COUNTRY,HTI,AMR,Americas,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_O_Bup_sold,,,,,,,No,,,,,2025-07-05T11:12:49Z,2024,2024-01-01,2024-12-31
2956159,TOBACCO_MPOWER_O2_MEDICATIONAVAILABILITY,COUNTRY,MWI,AFR,Africa,YEAR,2007,TOBACCO_INDICATOR,TOBACCO_INDICATOR_O_Varen_where,,,,,,,—,,,,,2025-07-05T11:12:49Z,2007,2007-01-01,2007-12-31
2957236,TOBACCO_MPOWER_O2_MEDICATIONAVAILABILITY,COUNTRY,MEX,AMR,Americas,YEAR,2014,TOBACCO_INDICATOR,TOBACCO_INDICATOR_O_NRT_ins,,,,,,,Partially,,,,,2025-07-05T11:12:49Z,2014,2014-01-01,2014-12-31
2957525,TOBACCO_MPOWER_O2_MEDICATIONAVAILABILITY,COUNTRY,TUN,EMR,Eastern Mediterranean,YEAR,2008,TOBACCO_INDICATOR,TOBACCO_INDICATOR_O_Varen_sold,,,,,,,No,,,,,2025-07-05T11:12:49Z,2008,2008-01-01,2008-12-31
2957641,TOBACCO_MPOWER_O2_MEDICATIONAVAILABILITY,COUNTRY,NAM,AFR,Africa,YEAR,2014,TOBACCO_INDICATOR,TOBACCO_INDICATOR_O_Bup_ins,,,,,,,No,,,,,2025-07-05T11:12:49Z,2014,2014-01-01,2014-12-31
2959607,TOBACCO_MPOWER_O2_MEDICATIONAVAILABILITY,COUNTRY,VNM,WPR,Western Pacific,YEAR,2012,TOBACCO_INDICATOR,TOBACCO_INDICATOR_O_NRT_EML,,,,,,,No,,,,,2025-07-05T11:12:49Z,2012,2012-01-01,2012-12-31
2960102,TOBACCO_MPOWER_O2_MEDICATIONAVAILABILITY,COUNTRY,ISR,EUR,Europe,YEAR,2022,TOBACCO_INDICATOR,TOBACCO_INDICATOR_O_Bup_where,,,,,,,In a pharmacy with a prescription,,,,,2025-07-05T11:12:49Z,2022,2022-01-01,2022-12-31
