Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
2950874,TOBACCO_MPOWER_P2_SMOKEFREEPLACEDETAILS,COUNTRY,USA,AMR,Americas,YEAR,2018,TOBACCO_INDICATOR,TOBACCO_INDICATOR_P12_fines_establishment,,,,,,,No,,,,,2026-02-25T15:04:30Z,2018,2018-01-01,2018-12-31
2951258,TOBACCO_MPOWER_P2_SMOKEFREEPLACEDETAILS,COUNTRY,KWT,EMR,Eastern Mediterranean,YEAR,2020,TOBACCO_INDICATOR,TOBACCO_INDICATOR_P11_fines_any,,,,,,,Yes,,,,,2025-07-25T14:20:30Z,2020,2020-01-01,2020-12-31
2955464,TOBACCO_MPOWER_P2_SMOKEFREEPLACEDETAILS,COUNTRY,KAZ,EUR,Europe,YEAR,2010,TOBACCO_INDICATOR,TOBACCO_INDICATOR_P10_subnat_auth_exists,,,,,,,No,,,,,2025-07-25T14:20:30Z,2010,2010-01-01,2010-12-31
2956617,TOBACCO_MPOWER_P2_SMOKEFREEPLACEDETAILS,COUNTRY,POL,EUR,Europe,YEAR,2008,TOBACCO_INDICATOR,TOBACCO_INDICATOR_P11_fines_any,,,,,,,Yes,,,,,2025-07-25T14:20:30Z,2008,2008-01-01,2008-12-31
2957252,TOBACCO_MPOWER_P2_SMOKEFREEPLACEDETAILS,COUNTRY,TKM,EUR,Europe,YEAR,2022,TOBACCO_INDICATOR,TOBACCO_INDICATOR_P_count_places_sf,,,,,,,8,8,,,,2025-07-25T14:20:30Z,2022,2022-01-01,2022-12-31
2957285,TOBACCO_MPOWER_P2_SMOKEFREEPLACEDETAILS,COUNTRY,PAK,EMR,Eastern Mediterranean,YEAR,2014,TOBACCO_INDICATOR,TOBACCO_INDICATOR_P_count_places_sf,,,,,,,8,8,,,,2025-07-25T14:20:30Z,2014,2014-01-01,2014-12-31
2957792,TOBACCO_MPOWER_P2_SMOKEFREEPLACEDETAILS,COUNTRY,KIR,WPR,Western Pacific,YEAR,2008,TOBACCO_INDICATOR,TOBACCO_INDICATOR_P13_fines_smoker,,,,,,,No,,,,,2026-02-25T15:04:30Z,2008,2008-01-01,2008-12-31
2961877,TOBACCO_MPOWER_P2_SMOKEFREEPLACEDETAILS,COUNTRY,MDA,EUR,Europe,YEAR,2014,TOBACCO_INDICATOR,TOBACCO_INDICATOR_P_count_places_sf,,,,,,,3,3,,,,2025-07-25T14:20:30Z,2014,2014-01-01,2014-12-31
2962064,TOBACCO_MPOWER_P2_SMOKEFREEPLACEDETAILS,COUNTRY,TUN,EMR,Eastern Mediterranean,YEAR,2012,TOBACCO_INDICATOR,TOBACCO_INDICATOR_P_count_places_sf,,,,,,,0,0,,,,2025-07-25T14:20:30Z,2012,2012-01-01,2012-12-31
2962935,TOBACCO_MPOWER_P2_SMOKEFREEPLACEDETAILS,COUNTRY,PRK,SEAR,South-East Asia,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_P11_fines_any,,,,,,,No,,,,,2025-07-25T14:20:30Z,2024,2024-01-01,2024-12-31
2968757,TOBACCO_MPOWER_P2_SMOKEFREEPLACEDETAILS,COUNTRY,CPV,AFR,Africa,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_P15_complaints,,,,,,,No,,,,,2025-07-25T14:20:30Z,2024,2024-01-01,2024-12-31
2974535,TOBACCO_MPOWER_P2_SMOKEFREEPLACEDETAILS,COUNTRY,ECU,AMR,Americas,YEAR,2014,TOBACCO_INDICATOR,TOBACCO_INDICATOR_P11_fines_any,,,,,,,Yes,,,,,2025-07-25T14:20:30Z,2014,2014-01-01,2014-12-31
2974838,TOBACCO_MPOWER_P2_SMOKEFREEPLACEDETAILS,COUNTRY,PRT,EUR,Europe,YEAR,2022,TOBACCO_INDICATOR,TOBACCO_INDICATOR_P15_complaints,,,,,,,Yes,,,,,2025-07-25T14:20:30Z,2022,2022-01-01,2022-12-31
2976026,TOBACCO_MPOWER_P2_SMOKEFREEPLACEDETAILS,COUNTRY,BWA,AFR,Africa,YEAR,2010,TOBACCO_INDICATOR,TOBACCO_INDICATOR_P10_subnat_auth_exists,,,,,,,No,,,,,2025-07-25T14:20:30Z,2010,2010-01-01,2010-12-31
2980602,TOBACCO_MPOWER_P2_SMOKEFREEPLACEDETAILS,COUNTRY,MDA,EUR,Europe,YEAR,2020,TOBACCO_INDICATOR,TOBACCO_INDICATOR_P13_fines_smoker,,,,,,,Yes,,,,,2025-07-25T14:20:30Z,2020,2020-01-01,2020-12-31
