Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
2950335,TOBACCO_MPOWER_R_AFFORDABILITY,COUNTRY,LUX,EUR,Europe,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_R_afford_trend_growth_rate,,,,,,,-0.77,-0.77,,,,2025-08-15T15:17:19Z,2024,2024-01-01,2024-12-31
2954387,TOBACCO_MPOWER_R_AFFORDABILITY,COUNTRY,HRV,EUR,Europe,YEAR,2022,TOBACCO_INDICATOR,TOBACCO_INDICATOR_R_afford_gdp,,,,,,,1.88,1.88,,,,2025-08-15T15:17:19Z,2022,2022-01-01,2022-12-31
2957603,TOBACCO_MPOWER_R_AFFORDABILITY,COUNTRY,LUX,EUR,Europe,YEAR,2018,TOBACCO_INDICATOR,TOBACCO_INDICATOR_R_afford_gdp,,,,,,,0.53,0.53,,,,2025-08-15T15:17:19Z,2018,2018-01-01,2018-12-31
2959433,TOBACCO_MPOWER_R_AFFORDABILITY,COUNTRY,MHL,WPR,Western Pacific,YEAR,2020,TOBACCO_INDICATOR,TOBACCO_INDICATOR_R_afford_gdp,,,,,,,4.54,4.54,,,,2025-08-15T15:17:19Z,2020,2020-01-01,2020-12-31
2969234,TOBACCO_MPOWER_R_AFFORDABILITY,COUNTRY,CYP,EUR,Europe,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_R_afford_cat,,,,,,,No,,,,,2025-08-15T15:17:19Z,2024,2024-01-01,2024-12-31
3025082,TOBACCO_MPOWER_R_AFFORDABILITY,COUNTRY,ITA,EUR,Europe,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_R_afford_gdp,,,,,,,1.68,1.68,,,,2025-08-15T15:17:19Z,2024,2024-01-01,2024-12-31
3027353,TOBACCO_MPOWER_R_AFFORDABILITY,COUNTRY,PRK,SEAR,South-East Asia,YEAR,2020,TOBACCO_INDICATOR,TOBACCO_INDICATOR_R_afford_gdp,,,,,,,. . .,,,,,2025-08-15T15:17:19Z,2020,2020-01-01,2020-12-31
3029530,TOBACCO_MPOWER_R_AFFORDABILITY,COUNTRY,BOL,AMR,Americas,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_R_afford_gdp,,,,,,,4.46,4.46,,,,2025-08-15T15:17:19Z,2024,2024-01-01,2024-12-31
3041541,TOBACCO_MPOWER_R_AFFORDABILITY,COUNTRY,NZL,WPR,Western Pacific,YEAR,2016,TOBACCO_INDICATOR,TOBACCO_INDICATOR_R_afford_gdp,,,,,,,3.82,3.82,,,,2025-08-15T15:17:19Z,2016,2016-01-01,2016-12-31
3042564,TOBACCO_MPOWER_R_AFFORDABILITY,COUNTRY,RWA,AFR,Africa,YEAR,2016,TOBACCO_INDICATOR,TOBACCO_INDICATOR_R_afford_gdp,,,,,,,10.95,10.95,,,,2025-08-15T15:17:19Z,2016,2016-01-01,2016-12-31
3073516,TOBACCO_MPOWER_R_AFFORDABILITY,COUNTRY,STP,AFR,Africa,YEAR,2016,TOBACCO_INDICATOR,TOBACCO_INDICATOR_R_afford_gdp,,,,,,,6.14,6.14,,,,2025-08-15T15:17:19Z,2016,2016-01-01,2016-12-31
3079917,TOBACCO_MPOWER_R_AFFORDABILITY,COUNTRY,JOR,EMR,Eastern Mediterranean,YEAR,2018,TOBACCO_INDICATOR,TOBACCO_INDICATOR_R_afford_gdp,,,,,,,6.79,6.79,,,,2025-08-15T15:17:19Z,2018,2018-01-01,2018-12-31
3096242,TOBACCO_MPOWER_R_AFFORDABILITY,COUNTRY,MDG,AFR,Africa,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_R_afford_trend_growth_rate,,,,,,,-1.8,-1.8,,,,2025-08-15T15:17:19Z,2024,2024-01-01,2024-12-31
3115583,TOBACCO_MPOWER_R_AFFORDABILITY,COUNTRY,LKA,SEAR,South-East Asia,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_R_afford_cat,,,,,,,Yes,,,,,2025-08-15T15:17:19Z,2024,2024-01-01,2024-12-31
3116428,TOBACCO_MPOWER_R_AFFORDABILITY,COUNTRY,CYP,EUR,Europe,YEAR,2014,TOBACCO_INDICATOR,TOBACCO_INDICATOR_R_afford_gdp,,,,,,,1.96,1.96,,,,2025-08-15T15:17:19Z,2014,2014-01-01,2014-12-31
