Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
2953185,TOBACCO_MPOWER_R_INFLATIONADJUSTEDPRICES,COUNTRY,OMN,EMR,Eastern Mediterranean,YEAR,2008,TOBACCO_INDICATOR,TOBACCO_INDICATOR_R_afford_inflation_adjusted_price_lcu,,,,,,,0.77,0.77,,,,2025-08-18T14:33:28Z,2008,2008-01-01,2008-12-31
2953481,TOBACCO_MPOWER_R_INFLATIONADJUSTEDPRICES,COUNTRY,LBY,EMR,Eastern Mediterranean,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_R_afford_inflation_adjusted_price_ppp,,,,,,,1.26,1.26,,,,2025-08-18T14:33:28Z,2024,2024-01-01,2024-12-31
2954085,TOBACCO_MPOWER_R_INFLATIONADJUSTEDPRICES,COUNTRY,MNG,WPR,Western Pacific,YEAR,2018,TOBACCO_INDICATOR,TOBACCO_INDICATOR_R_afford_inflation_adjusted_price_ppp,,,,,,,3.03,3.03,,,,2025-08-18T14:33:28Z,2018,2018-01-01,2018-12-31
2955106,TOBACCO_MPOWER_R_INFLATIONADJUSTEDPRICES,COUNTRY,OMN,EMR,Eastern Mediterranean,YEAR,2008,TOBACCO_INDICATOR,TOBACCO_INDICATOR_R_afford_inflation_adjusted_price_ppp,,,,,,,3.05,3.05,,,,2025-08-18T14:33:28Z,2008,2008-01-01,2008-12-31
2955189,TOBACCO_MPOWER_R_INFLATIONADJUSTEDPRICES,COUNTRY,COK,WPR,Western Pacific,YEAR,2014,TOBACCO_INDICATOR,TOBACCO_INDICATOR_R_afford_inflation_adjusted_price_lcu,,,,,,,. . .,,,,,2025-08-18T14:33:28Z,2014,2014-01-01,2014-12-31
2956642,TOBACCO_MPOWER_R_INFLATIONADJUSTEDPRICES,COUNTRY,ZWE,AFR,Africa,YEAR,2016,TOBACCO_INDICATOR,TOBACCO_INDICATOR_R_afford_inflation_adjusted_price_ppp,,,,,,,. . .,,,,,2025-08-18T14:33:28Z,2016,2016-01-01,2016-12-31
2962572,TOBACCO_MPOWER_R_INFLATIONADJUSTEDPRICES,COUNTRY,SOM,EMR,Eastern Mediterranean,YEAR,2016,TOBACCO_INDICATOR,TOBACCO_INDICATOR_R_afford_inflation_adjusted_price_lcu,,,,,,,17 749,17749,,,,2025-08-18T14:33:28Z,2016,2016-01-01,2016-12-31
2966347,TOBACCO_MPOWER_R_INFLATIONADJUSTEDPRICES,COUNTRY,BOL,AMR,Americas,YEAR,2008,TOBACCO_INDICATOR,TOBACCO_INDICATOR_R_afford_inflation_adjusted_price_ppp,,,,,,,3.7,3.7,,,,2025-08-18T14:33:28Z,2008,2008-01-01,2008-12-31
2967748,TOBACCO_MPOWER_R_INFLATIONADJUSTEDPRICES,COUNTRY,LSO,AFR,Africa,YEAR,2008,TOBACCO_INDICATOR,TOBACCO_INDICATOR_R_afford_inflation_adjusted_price_lcu,,,,,,,51.83,51.83,,,,2025-08-18T14:33:28Z,2008,2008-01-01,2008-12-31
2970165,TOBACCO_MPOWER_R_INFLATIONADJUSTEDPRICES,COUNTRY,ETH,AFR,Africa,YEAR,2016,TOBACCO_INDICATOR,TOBACCO_INDICATOR_R_afford_inflation_adjusted_price_lcu,,,,,,,70.92,70.92,,,,2025-08-18T14:33:28Z,2016,2016-01-01,2016-12-31
2974746,TOBACCO_MPOWER_R_INFLATIONADJUSTEDPRICES,COUNTRY,BHS,AMR,Americas,YEAR,2014,TOBACCO_INDICATOR,TOBACCO_INDICATOR_R_afford_inflation_adjusted_price_lcu,,,,,,,8.51,8.51,,,,2025-08-18T14:33:28Z,2014,2014-01-01,2014-12-31
2974801,TOBACCO_MPOWER_R_INFLATIONADJUSTEDPRICES,COUNTRY,PNG,WPR,Western Pacific,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_R_afford_inflation_adjusted_price_ppp,,,,,,,7.33,7.33,,,,2025-08-18T14:33:28Z,2024,2024-01-01,2024-12-31
2979457,TOBACCO_MPOWER_R_INFLATIONADJUSTEDPRICES,COUNTRY,TZA,AFR,Africa,YEAR,2010,TOBACCO_INDICATOR,TOBACCO_INDICATOR_R_afford_inflation_adjusted_price_ppp,,,,,,,6.27,6.27,,,,2025-08-18T14:33:28Z,2010,2010-01-01,2010-12-31
2980273,TOBACCO_MPOWER_R_INFLATIONADJUSTEDPRICES,COUNTRY,LVA,EUR,Europe,YEAR,2008,TOBACCO_INDICATOR,TOBACCO_INDICATOR_R_afford_inflation_adjusted_price_ppp,,,,,,,5.2,5.2,,,,2025-08-18T14:33:28Z,2008,2008-01-01,2008-12-31
