Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
2948709,TOBACCO_MPOWER_R_PRICE,COUNTRY,NRU,WPR,Western Pacific,YEAR,2018,TOBACCO_INDICATOR,TOBACCO_INDICATOR_PRICE_IN_PPP,TOBACCO_NICOTINE_PRODUCT,TOBACCO_NICOTINE_PRODUCT_CIGARETTE_MOSTSOLD,,,,,7.11,7.11,,,,2025-12-09T09:20:52Z,2018,2018-01-01,2018-12-31
2949009,TOBACCO_MPOWER_R_PRICE,COUNTRY,SVN,EUR,Europe,YEAR,2016,TOBACCO_INDICATOR,TOBACCO_INDICATOR_CURRENCY_LOCAL,TOBACCO_NICOTINE_PRODUCT,TOBACCO_NICOTINE_PRODUCT_CIGARETTE_MOSTSOLD,,,,,EUR,,,,,2025-12-09T09:20:52Z,2016,2016-01-01,2016-12-31
2949917,TOBACCO_MPOWER_R_PRICE,COUNTRY,BIH,EUR,Europe,YEAR,2012,TOBACCO_INDICATOR,TOBACCO_INDICATOR_PRICE_IN_PPP,TOBACCO_NICOTINE_PRODUCT,TOBACCO_NICOTINE_PRODUCT_CIGARETTE_MOSTSOLD,,,,,4.04,4.04,,,,2025-12-09T09:20:52Z,2012,2012-01-01,2012-12-31
2951082,TOBACCO_MPOWER_R_PRICE,COUNTRY,SUR,AMR,Americas,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_PRICE_IN_USD,TOBACCO_NICOTINE_PRODUCT,TOBACCO_NICOTINE_PRODUCT_TOBACCO_HEATED_HTP_MOSTSOLD,,,,,. . .,,,,,2025-12-09T09:20:52Z,2024,2024-01-01,2024-12-31
2951176,TOBACCO_MPOWER_R_PRICE,COUNTRY,VEN,AMR,Americas,YEAR,2012,TOBACCO_INDICATOR,TOBACCO_INDICATOR_PRICE_IN_CURRENCY,TOBACCO_NICOTINE_PRODUCT,TOBACCO_NICOTINE_PRODUCT_CIGARETTE_MOSTSOLD,,,,,30,30,,,,2025-12-09T09:20:52Z,2012,2012-01-01,2012-12-31
2951235,TOBACCO_MPOWER_R_PRICE,COUNTRY,SMR,EUR,Europe,YEAR,2010,TOBACCO_INDICATOR,TOBACCO_INDICATOR_PRICE_IN_USD,TOBACCO_NICOTINE_PRODUCT,TOBACCO_NICOTINE_PRODUCT_CIGARETTE_MOSTSOLD,,,,,5.21,5.21,,,,2025-12-09T09:20:52Z,2010,2010-01-01,2010-12-31
2951282,TOBACCO_MPOWER_R_PRICE,COUNTRY,AND,EUR,Europe,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_PRICE_IN_CURRENCY,TOBACCO_NICOTINE_PRODUCT,TOBACCO_NICOTINE_PRODUCT_ELIQUID_OPEN_CHEAPEST,,,,,4,4,,,,2025-12-09T09:20:52Z,2024,2024-01-01,2024-12-31
2952141,TOBACCO_MPOWER_R_PRICE,COUNTRY,SGP,WPR,Western Pacific,YEAR,2018,TOBACCO_INDICATOR,TOBACCO_INDICATOR_PRICE_IN_USD,TOBACCO_NICOTINE_PRODUCT,TOBACCO_NICOTINE_PRODUCT_CIGARETTE_MOSTSOLD,,,,,10.35,10.35,,,,2025-12-09T09:20:52Z,2018,2018-01-01,2018-12-31
2953377,TOBACCO_MPOWER_R_PRICE,COUNTRY,IND,SEAR,South-East Asia,YEAR,2010,TOBACCO_INDICATOR,TOBACCO_INDICATOR_PRICE_IN_PPP,TOBACCO_NICOTINE_PRODUCT,TOBACCO_NICOTINE_PRODUCT_CIGARETTE_MOSTSOLD,,,,,4.34,4.34,,,,2025-12-09T09:20:52Z,2010,2010-01-01,2010-12-31
2954121,TOBACCO_MPOWER_R_PRICE,COUNTRY,BEL,EUR,Europe,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_PRICE_IN_PPP,TOBACCO_NICOTINE_PRODUCT,TOBACCO_NICOTINE_PRODUCT_TOBACCO_HEATED_HTP_MOSTSOLD,,,,,. . .,,,,,2025-12-09T09:20:52Z,2024,2024-01-01,2024-12-31
