Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
2949900,TOBACCO_MPOWER_R_TAXREVENUELATEST,COUNTRY,ALB,EUR,Europe,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Rev_curr,,,,,,,ALL,,,,,2025-08-12T08:18:13Z,2024,2024-01-01,2024-12-31
2957164,TOBACCO_MPOWER_R_TAXREVENUELATEST,COUNTRY,TTO,AMR,Americas,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Rev_import,,,,,,,22 762 745,22762744.84,,,,2025-08-12T08:18:13Z,2024,2024-01-01,2024-12-31
2959934,TOBACCO_MPOWER_R_TAXREVENUELATEST,COUNTRY,TZA,AFR,Africa,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Rev_excise,,,,,,,180 245 952 461,180245952461.00003,,,,2025-08-12T15:04:57Z,2024,2024-01-01,2024-12-31
2976138,TOBACCO_MPOWER_R_TAXREVENUELATEST,COUNTRY,TGO,AFR,Africa,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Rev_type,,,,,,,Cigarettes only,,,,,2025-08-12T08:18:13Z,2024,2024-01-01,2024-12-31
2993642,TOBACCO_MPOWER_R_TAXREVENUELATEST,COUNTRY,PSE,EMR,Eastern Mediterranean,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Rev_year,,,,,,,2015,,,,,2025-08-12T15:04:57Z,2024,2024-01-01,2024-12-31
3001880,TOBACCO_MPOWER_R_TAXREVENUELATEST,COUNTRY,GUY,AMR,Americas,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Rev_govt_total,,,,,,,1 924 544 161,1924544161,,,,2025-08-12T08:18:13Z,2024,2024-01-01,2024-12-31
3011052,TOBACCO_MPOWER_R_TAXREVENUELATEST,COUNTRY,NZL,WPR,Western Pacific,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Rev_excise,,,,,,,1 524 509 000,1524509000,,,,2025-08-12T08:18:13Z,2024,2024-01-01,2024-12-31
3014193,TOBACCO_MPOWER_R_TAXREVENUELATEST,COUNTRY,GBR,EUR,Europe,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Rev_excise,,,,,,,8 804 000 000,8804000000,,,,2025-08-12T08:18:13Z,2024,2024-01-01,2024-12-31
3016031,TOBACCO_MPOWER_R_TAXREVENUELATEST,COUNTRY,TZA,AFR,Africa,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Rev_govt_total,,,,,,,. . .,,,,,2025-08-12T08:18:13Z,2024,2024-01-01,2024-12-31
3017618,TOBACCO_MPOWER_R_TAXREVENUELATEST,COUNTRY,MLT,EUR,Europe,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Rev_import,,,,,,,. . .,,,,,2025-08-12T08:18:13Z,2024,2024-01-01,2024-12-31
3017666,TOBACCO_MPOWER_R_TAXREVENUELATEST,COUNTRY,AND,EUR,Europe,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Rev_type,,,,,,,All tobacco products,,,,,2025-08-12T15:04:57Z,2024,2024-01-01,2024-12-31
3034268,TOBACCO_MPOWER_R_TAXREVENUELATEST,COUNTRY,CZE,EUR,Europe,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Rev_import,,,,,,,. . .,,,,,2025-08-12T08:18:13Z,2024,2024-01-01,2024-12-31
3036081,TOBACCO_MPOWER_R_TAXREVENUELATEST,COUNTRY,ISR,EUR,Europe,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Rev_import,,,,,,,7 719 000 000,7719000000,,,,2025-08-12T08:18:13Z,2024,2024-01-01,2024-12-31
3038387,TOBACCO_MPOWER_R_TAXREVENUELATEST,COUNTRY,FRA,EUR,Europe,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Rev_year,,,,,,,2023,,,,,2025-08-12T15:04:57Z,2024,2024-01-01,2024-12-31
3040035,TOBACCO_MPOWER_R_TAXREVENUELATEST,COUNTRY,LUX,EUR,Europe,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Rev_excise,,,,,,,1 025 283 200,1025283200,,,,2025-08-12T08:18:13Z,2024,2024-01-01,2024-12-31
3040083,TOBACCO_MPOWER_R_TAXREVENUELATEST,COUNTRY,PAK,EMR,Eastern Mediterranean,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Rev_curr,,,,,,,PKR,,,,,2025-08-12T08:18:13Z,2024,2024-01-01,2024-12-31
3046724,TOBACCO_MPOWER_R_TAXREVENUELATEST,COUNTRY,YEM,EMR,Eastern Mediterranean,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Rev_import,,,,,,,1 005 079 400,1005079400,,,,2025-08-12T08:18:13Z,2024,2024-01-01,2024-12-31
3049393,TOBACCO_MPOWER_R_TAXREVENUELATEST,COUNTRY,GNB,AFR,Africa,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Rev_import,,,,,,,. . .,,,,,2025-08-12T08:18:13Z,2024,2024-01-01,2024-12-31
3063619,TOBACCO_MPOWER_R_TAXREVENUELATEST,COUNTRY,IND,SEAR,South-East Asia,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Rev_import,,,,,,,. . .,,,,,2025-08-12T08:18:13Z,2024,2024-01-01,2024-12-31
3073235,TOBACCO_MPOWER_R_TAXREVENUELATEST,COUNTRY,MKD,EUR,Europe,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Rev_year,,,,,,,2021,,,,,2025-08-12T15:04:57Z,2024,2024-01-01,2024-12-31
3074378,TOBACCO_MPOWER_R_TAXREVENUELATEST,COUNTRY,NLD,EUR,Europe,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Rev_other,,,,,,,. . .,,,,,2025-08-12T08:18:13Z,2024,2024-01-01,2024-12-31
3076341,TOBACCO_MPOWER_R_TAXREVENUELATEST,COUNTRY,PAN,AMR,Americas,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Rev_govt_total,,,,,,,. . .,,,,,2025-08-12T08:18:13Z,2024,2024-01-01,2024-12-31
3080111,TOBACCO_MPOWER_R_TAXREVENUELATEST,COUNTRY,MNG,WPR,Western Pacific,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Rev_year,,,,,,,2021,,,,,2025-08-12T15:04:57Z,2024,2024-01-01,2024-12-31
3080941,TOBACCO_MPOWER_R_TAXREVENUELATEST,COUNTRY,JPN,WPR,Western Pacific,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Rev_year,,,,,,,2022/23,,,,,2025-08-12T08:18:13Z,2024,2024-01-01,2024-12-31
3088060,TOBACCO_MPOWER_R_TAXREVENUELATEST,COUNTRY,ZMB,AFR,Africa,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Rev_curr,,,,,,,ZMW,,,,,2025-08-12T08:18:13Z,2024,2024-01-01,2024-12-31
3114391,TOBACCO_MPOWER_R_TAXREVENUELATEST,COUNTRY,ZWE,AFR,Africa,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Rev_year,,,,,,,2019,,,,,2025-08-12T15:04:57Z,2024,2024-01-01,2024-12-31
3125878,TOBACCO_MPOWER_R_TAXREVENUELATEST,COUNTRY,KOR,WPR,Western Pacific,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Rev_type,,,,,,,All tobacco products,,,,,2025-08-12T15:04:57Z,2024,2024-01-01,2024-12-31
3125882,TOBACCO_MPOWER_R_TAXREVENUELATEST,COUNTRY,URY,AMR,Americas,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Rev_curr,,,,,,,UYU,,,,,2025-08-12T08:18:13Z,2024,2024-01-01,2024-12-31
3130109,TOBACCO_MPOWER_R_TAXREVENUELATEST,COUNTRY,CHN,WPR,Western Pacific,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Rev_curr,,,,,,,CNY,,,,,2025-08-12T08:18:13Z,2024,2024-01-01,2024-12-31
3136252,TOBACCO_MPOWER_R_TAXREVENUELATEST,COUNTRY,NIU,WPR,Western Pacific,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Rev_other,,,,,,,150 526,150526.33,,,,2025-08-12T08:18:13Z,2024,2024-01-01,2024-12-31
3144357,TOBACCO_MPOWER_R_TAXREVENUELATEST,COUNTRY,HRV,EUR,Europe,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Rev_excise,,,,,,,891 265 300,891265300,,,,2025-08-12T08:18:13Z,2024,2024-01-01,2024-12-31
3147534,TOBACCO_MPOWER_R_TAXREVENUELATEST,COUNTRY,CAF,AFR,Africa,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Rev_year,,,,,,,2020,,,,,2025-08-12T15:04:57Z,2024,2024-01-01,2024-12-31
3148788,TOBACCO_MPOWER_R_TAXREVENUELATEST,COUNTRY,MAR,EMR,Eastern Mediterranean,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Rev_import,,,,,,,. . .,,,,,2025-08-12T08:18:13Z,2024,2024-01-01,2024-12-31
3155434,TOBACCO_MPOWER_R_TAXREVENUELATEST,COUNTRY,COK,WPR,Western Pacific,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Rev_import,,,,,,,. . .,,,,,2025-08-12T08:18:13Z,2024,2024-01-01,2024-12-31
3165494,TOBACCO_MPOWER_R_TAXREVENUELATEST,COUNTRY,ESP,EUR,Europe,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Rev_govt_total,,,,,,,. . .,,,,,2025-08-12T08:18:13Z,2024,2024-01-01,2024-12-31
3182788,TOBACCO_MPOWER_R_TAXREVENUELATEST,COUNTRY,CUB,AMR,Americas,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Rev_import,,,,,,,. . .,,,,,2025-08-12T08:18:13Z,2024,2024-01-01,2024-12-31
3191422,TOBACCO_MPOWER_R_TAXREVENUELATEST,COUNTRY,SAU,EMR,Eastern Mediterranean,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Rev_curr,,,,,,,SAR,,,,,2025-08-12T08:18:13Z,2024,2024-01-01,2024-12-31
