Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
2948116,TOBACCO_MPOWER_R_TAXREVENUEPREVIOUS,COUNTRY,MDG,AFR,Africa,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Rev_VAT_prev,,,,,,,. . .,,,,,2025-08-12T08:52:39Z,2024,2024-01-01,2024-12-31
2949180,TOBACCO_MPOWER_R_TAXREVENUEPREVIOUS,COUNTRY,SRB,EUR,Europe,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Rev_year_prev,,,,,,,2019,,,,,2025-08-12T15:11:05Z,2024,2024-01-01,2024-12-31
2961829,TOBACCO_MPOWER_R_TAXREVENUEPREVIOUS,COUNTRY,NIC,AMR,Americas,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Rev_year_prev,,,,,,,. . .,,,,,2025-08-12T08:52:39Z,2024,2024-01-01,2024-12-31
2961908,TOBACCO_MPOWER_R_TAXREVENUEPREVIOUS,COUNTRY,SOM,EMR,Eastern Mediterranean,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Rev_govt_total_prev,,,,,,,135 943,135943,,,,2025-08-12T08:52:39Z,2024,2024-01-01,2024-12-31
2971497,TOBACCO_MPOWER_R_TAXREVENUEPREVIOUS,COUNTRY,LTU,EUR,Europe,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Rev_import_prev,,,,,,,. . .,,,,,2025-08-12T08:52:39Z,2024,2024-01-01,2024-12-31
2980351,TOBACCO_MPOWER_R_TAXREVENUEPREVIOUS,COUNTRY,MDA,EUR,Europe,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Rev_type_prev,,,,,,,All Tobacco products,,,,,2025-08-12T08:52:39Z,2024,2024-01-01,2024-12-31
2990106,TOBACCO_MPOWER_R_TAXREVENUEPREVIOUS,COUNTRY,BHS,AMR,Americas,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Rev_type_prev,,,,,,,All Tobacco products,,,,,2025-08-12T08:52:39Z,2024,2024-01-01,2024-12-31
2990894,TOBACCO_MPOWER_R_TAXREVENUEPREVIOUS,COUNTRY,TUV,WPR,Western Pacific,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Rev_govt_total_prev,,,,,,,1 110 731,1110731.44,,,,2025-08-12T08:52:39Z,2024,2024-01-01,2024-12-31
2991050,TOBACCO_MPOWER_R_TAXREVENUEPREVIOUS,COUNTRY,NAM,AFR,Africa,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Rev_import_prev,,,,,,,3 450 702 543,3450702543.4700003,,,,2025-08-12T15:11:05Z,2024,2024-01-01,2024-12-31
2995453,TOBACCO_MPOWER_R_TAXREVENUEPREVIOUS,COUNTRY,OMN,EMR,Eastern Mediterranean,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Rev_import_prev,,,,,,,6 004 329,6004329,,,,2025-08-12T08:52:39Z,2024,2024-01-01,2024-12-31
3001607,TOBACCO_MPOWER_R_TAXREVENUEPREVIOUS,COUNTRY,PRT,EUR,Europe,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Rev_VAT_prev,,,,,,,. . .,,,,,2025-08-12T08:52:39Z,2024,2024-01-01,2024-12-31
3009307,TOBACCO_MPOWER_R_TAXREVENUEPREVIOUS,COUNTRY,ESP,EUR,Europe,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Rev_year_prev,,,,,,,2022,,,,,2025-08-12T15:11:05Z,2024,2024-01-01,2024-12-31
3009986,TOBACCO_MPOWER_R_TAXREVENUEPREVIOUS,COUNTRY,TUR,EUR,Europe,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Rev_excise_prev,,,,,,,101 275 219 000,101275219000,,,,2025-08-12T15:11:05Z,2024,2024-01-01,2024-12-31
3010422,TOBACCO_MPOWER_R_TAXREVENUEPREVIOUS,COUNTRY,VNM,WPR,Western Pacific,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Rev_govt_total_prev,,,,,,,. . .,,,,,2025-08-12T08:52:39Z,2024,2024-01-01,2024-12-31
3022137,TOBACCO_MPOWER_R_TAXREVENUEPREVIOUS,COUNTRY,BLZ,AMR,Americas,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Rev_year_prev,,,,,,,2022,,,,,2025-08-12T15:11:05Z,2024,2024-01-01,2024-12-31
3037141,TOBACCO_MPOWER_R_TAXREVENUEPREVIOUS,COUNTRY,LTU,EUR,Europe,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Rev_govt_total_prev,,,,,,,. . .,,,,,2025-08-12T08:52:39Z,2024,2024-01-01,2024-12-31
3046970,TOBACCO_MPOWER_R_TAXREVENUEPREVIOUS,COUNTRY,HND,AMR,Americas,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Rev_other_prev,,,,,,,0,0,,,,2025-08-12T08:52:39Z,2024,2024-01-01,2024-12-31
3048553,TOBACCO_MPOWER_R_TAXREVENUEPREVIOUS,COUNTRY,NRU,WPR,Western Pacific,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Rev_excise_prev,,,,,,,—,,,,,2025-08-12T08:52:39Z,2024,2024-01-01,2024-12-31
3053711,TOBACCO_MPOWER_R_TAXREVENUEPREVIOUS,COUNTRY,SDN,EMR,Eastern Mediterranean,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Rev_year_prev,,,,,,,2017,,,,,2025-08-12T15:11:05Z,2024,2024-01-01,2024-12-31
3062891,TOBACCO_MPOWER_R_TAXREVENUEPREVIOUS,COUNTRY,NLD,EUR,Europe,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Rev_year_prev,,,,,,,2022,,,,,2025-08-12T15:11:05Z,2024,2024-01-01,2024-12-31
3064050,TOBACCO_MPOWER_R_TAXREVENUEPREVIOUS,COUNTRY,CAN,AMR,Americas,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Rev_VAT_prev,,,,,,,. . .,,,,,2025-08-12T08:52:39Z,2024,2024-01-01,2024-12-31
3075401,TOBACCO_MPOWER_R_TAXREVENUEPREVIOUS,COUNTRY,BWA,AFR,Africa,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Rev_excise_prev,,,,,,,86 642,86641.5,,,,2025-08-12T08:52:39Z,2024,2024-01-01,2024-12-31
3075403,TOBACCO_MPOWER_R_TAXREVENUEPREVIOUS,COUNTRY,DEU,EUR,Europe,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Rev_VAT_prev,,,,,,,. . .,,,,,2025-08-12T08:52:39Z,2024,2024-01-01,2024-12-31
3082818,TOBACCO_MPOWER_R_TAXREVENUEPREVIOUS,COUNTRY,IDN,WPR,Western Pacific,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Rev_type_prev,,,,,,,Cigarettes only,,,,,2025-08-12T08:52:39Z,2024,2024-01-01,2024-12-31
3088468,TOBACCO_MPOWER_R_TAXREVENUEPREVIOUS,COUNTRY,BOL,AMR,Americas,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Rev_excise_prev,,,,,,,244 297 606,244297606,,,,2025-08-12T08:52:39Z,2024,2024-01-01,2024-12-31
3093613,TOBACCO_MPOWER_R_TAXREVENUEPREVIOUS,COUNTRY,TUR,EUR,Europe,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Rev_VAT_prev,,,,,,,. . .,,,,,2025-08-12T08:52:39Z,2024,2024-01-01,2024-12-31
3094736,TOBACCO_MPOWER_R_TAXREVENUEPREVIOUS,COUNTRY,BIH,EUR,Europe,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Rev_year_prev,,,,,,,2021,,,,,2025-08-12T15:11:05Z,2024,2024-01-01,2024-12-31
3104387,TOBACCO_MPOWER_R_TAXREVENUEPREVIOUS,COUNTRY,NIU,WPR,Western Pacific,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Rev_type_prev,,,,,,,All Tobacco products,,,,,2025-08-12T08:52:39Z,2024,2024-01-01,2024-12-31
3112010,TOBACCO_MPOWER_R_TAXREVENUEPREVIOUS,COUNTRY,EST,EUR,Europe,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Rev_other_prev,,,,,,,. . .,,,,,2025-08-12T08:52:39Z,2024,2024-01-01,2024-12-31
3126087,TOBACCO_MPOWER_R_TAXREVENUEPREVIOUS,COUNTRY,VUT,WPR,Western Pacific,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Rev_VAT_prev,,,,,,,223 770 330,223770330,,,,2025-08-12T08:52:39Z,2024,2024-01-01,2024-12-31
3126772,TOBACCO_MPOWER_R_TAXREVENUEPREVIOUS,COUNTRY,BRN,WPR,Western Pacific,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Rev_excise_prev,,,,,,,214 269,214269,,,,2025-08-12T08:52:39Z,2024,2024-01-01,2024-12-31
3141763,TOBACCO_MPOWER_R_TAXREVENUEPREVIOUS,COUNTRY,SWE,EUR,Europe,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Rev_import_prev,,,,,,,. . .,,,,,2025-08-12T08:52:39Z,2024,2024-01-01,2024-12-31
3150303,TOBACCO_MPOWER_R_TAXREVENUEPREVIOUS,COUNTRY,VCT,AMR,Americas,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Rev_govt_total_prev,,,,,,,2 060 280,2060280.27,,,,2025-08-12T08:52:39Z,2024,2024-01-01,2024-12-31
3151322,TOBACCO_MPOWER_R_TAXREVENUEPREVIOUS,COUNTRY,SVN,EUR,Europe,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Rev_excise_prev,,,,,,,471 317 900,471317900,,,,2025-08-12T08:52:39Z,2024,2024-01-01,2024-12-31
3153052,TOBACCO_MPOWER_R_TAXREVENUEPREVIOUS,COUNTRY,NIC,AMR,Americas,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Rev_excise_prev,,,,,,,. . .,,,,,2025-08-12T08:52:39Z,2024,2024-01-01,2024-12-31
3157535,TOBACCO_MPOWER_R_TAXREVENUEPREVIOUS,COUNTRY,ERI,AFR,Africa,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Rev_excise_prev,,,,,,,11 429 000,11429000,,,,2025-08-12T08:52:39Z,2024,2024-01-01,2024-12-31
3166201,TOBACCO_MPOWER_R_TAXREVENUEPREVIOUS,COUNTRY,JOR,EMR,Eastern Mediterranean,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Rev_VAT_prev,,,,,,,142 819 072,142819072,,,,2025-08-12T08:52:39Z,2024,2024-01-01,2024-12-31
3166925,TOBACCO_MPOWER_R_TAXREVENUEPREVIOUS,COUNTRY,NOR,EUR,Europe,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Rev_VAT_prev,,,,,,,. . .,,,,,2025-08-12T08:52:39Z,2024,2024-01-01,2024-12-31
3168319,TOBACCO_MPOWER_R_TAXREVENUEPREVIOUS,COUNTRY,LUX,EUR,Europe,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Rev_year_prev,,,,,,,2022,,,,,2025-08-12T15:11:05Z,2024,2024-01-01,2024-12-31
3169953,TOBACCO_MPOWER_R_TAXREVENUEPREVIOUS,COUNTRY,CYP,EUR,Europe,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Rev_type_prev,,,,,,,All Tobacco products,,,,,2025-08-12T08:52:39Z,2024,2024-01-01,2024-12-31
3170010,TOBACCO_MPOWER_R_TAXREVENUEPREVIOUS,COUNTRY,SLB,WPR,Western Pacific,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Rev_year_prev,,,,,,,2016,,,,,2025-08-12T15:11:05Z,2024,2024-01-01,2024-12-31
3194619,TOBACCO_MPOWER_R_TAXREVENUEPREVIOUS,COUNTRY,GUY,AMR,Americas,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Rev_type_prev,,,,,,,Cigarettes only,,,,,2025-08-12T08:52:39Z,2024,2024-01-01,2024-12-31
3198461,TOBACCO_MPOWER_R_TAXREVENUEPREVIOUS,COUNTRY,TUV,WPR,Western Pacific,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Rev_year_prev,,,,,,,2020,,,,,2025-08-12T15:11:05Z,2024,2024-01-01,2024-12-31
3205212,TOBACCO_MPOWER_R_TAXREVENUEPREVIOUS,COUNTRY,USA,AMR,Americas,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Rev_govt_total_prev,,,,,,,. . .,,,,,2025-08-12T08:52:39Z,2024,2024-01-01,2024-12-31
3216165,TOBACCO_MPOWER_R_TAXREVENUEPREVIOUS,COUNTRY,ATG,AMR,Americas,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Rev_excise_prev,,,,,,,—,,,,,2025-08-12T08:52:39Z,2024,2024-01-01,2024-12-31
3220389,TOBACCO_MPOWER_R_TAXREVENUEPREVIOUS,COUNTRY,GEO,EUR,Europe,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Rev_type_prev,,,,,,,All Tobacco products,,,,,2025-08-12T08:52:39Z,2024,2024-01-01,2024-12-31
3230860,TOBACCO_MPOWER_R_TAXREVENUEPREVIOUS,COUNTRY,MKD,EUR,Europe,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Rev_type_prev,,,,,,,All Tobacco products,,,,,2025-08-12T08:52:39Z,2024,2024-01-01,2024-12-31
3231454,TOBACCO_MPOWER_R_TAXREVENUEPREVIOUS,COUNTRY,COL,AMR,Americas,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Rev_type_prev,,,,,,,All Tobacco products,,,,,2025-08-12T08:52:39Z,2024,2024-01-01,2024-12-31
3236055,TOBACCO_MPOWER_R_TAXREVENUEPREVIOUS,COUNTRY,QAT,EMR,Eastern Mediterranean,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Rev_import_prev,,,,,,,186 184 542,186184542,,,,2025-08-12T08:52:39Z,2024,2024-01-01,2024-12-31
3237223,TOBACCO_MPOWER_R_TAXREVENUEPREVIOUS,COUNTRY,PSE,EMR,Eastern Mediterranean,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Rev_import_prev,,,,,,,. . .,,,,,2025-08-12T08:52:39Z,2024,2024-01-01,2024-12-31
3247362,TOBACCO_MPOWER_R_TAXREVENUEPREVIOUS,COUNTRY,KAZ,EUR,Europe,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Rev_import_prev,,,,,,,. . .,,,,,2025-08-12T08:52:39Z,2024,2024-01-01,2024-12-31
3249615,TOBACCO_MPOWER_R_TAXREVENUEPREVIOUS,COUNTRY,PRK,SEAR,South-East Asia,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Rev_import_prev,,,,,,,. . .,,,,,2025-08-12T08:52:39Z,2024,2024-01-01,2024-12-31
3256973,TOBACCO_MPOWER_R_TAXREVENUEPREVIOUS,COUNTRY,IRN,EMR,Eastern Mediterranean,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Rev_year_prev,,,,,,,2022,,,,,2025-08-12T15:11:05Z,2024,2024-01-01,2024-12-31
3288135,TOBACCO_MPOWER_R_TAXREVENUEPREVIOUS,COUNTRY,RUS,EUR,Europe,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Rev_year_prev,,,,,,,2022,,,,,2025-08-12T15:11:05Z,2024,2024-01-01,2024-12-31
3289295,TOBACCO_MPOWER_R_TAXREVENUEPREVIOUS,COUNTRY,NAM,AFR,Africa,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Rev_year_prev,,,,,,,2016,,,,,2025-08-12T15:11:05Z,2024,2024-01-01,2024-12-31
3298041,TOBACCO_MPOWER_R_TAXREVENUEPREVIOUS,COUNTRY,OMN,EMR,Eastern Mediterranean,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Rev_govt_total_prev,,,,,,,39 627 329,39627329,,,,2025-08-12T08:52:39Z,2024,2024-01-01,2024-12-31
3302323,TOBACCO_MPOWER_R_TAXREVENUEPREVIOUS,COUNTRY,BEL,EUR,Europe,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Rev_type_prev,,,,,,,All Tobacco products,,,,,2025-08-12T08:52:39Z,2024,2024-01-01,2024-12-31
3305638,TOBACCO_MPOWER_R_TAXREVENUEPREVIOUS,COUNTRY,BWA,AFR,Africa,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Rev_other_prev,,,,,,,24 978 306,24978306,,,,2025-08-12T08:52:39Z,2024,2024-01-01,2024-12-31
3330574,TOBACCO_MPOWER_R_TAXREVENUEPREVIOUS,COUNTRY,CRI,AMR,Americas,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Rev_type_prev,,,,,,,All Tobacco products,,,,,2025-08-12T08:52:39Z,2024,2024-01-01,2024-12-31
3334157,TOBACCO_MPOWER_R_TAXREVENUEPREVIOUS,COUNTRY,SRB,EUR,Europe,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Rev_type_prev,,,,,,,All Tobacco products,,,,,2025-08-12T08:52:39Z,2024,2024-01-01,2024-12-31
3342546,TOBACCO_MPOWER_R_TAXREVENUEPREVIOUS,COUNTRY,SLE,AFR,Africa,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Rev_type_prev,,,,,,,All tobacco products,,,,,2025-08-12T08:52:39Z,2024,2024-01-01,2024-12-31
3348056,TOBACCO_MPOWER_R_TAXREVENUEPREVIOUS,COUNTRY,ESP,EUR,Europe,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Rev_govt_total_prev,,,,,,,. . .,,,,,2025-08-12T08:52:39Z,2024,2024-01-01,2024-12-31
3352316,TOBACCO_MPOWER_R_TAXREVENUEPREVIOUS,COUNTRY,BGR,EUR,Europe,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Rev_curr_prev,,,,,,,EUR,,,,,2025-08-12T08:52:39Z,2024,2024-01-01,2024-12-31
3352886,TOBACCO_MPOWER_R_TAXREVENUEPREVIOUS,COUNTRY,NOR,EUR,Europe,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Rev_excise_prev,,,,,,,8 958 000 000,8958000000,,,,2025-08-12T08:52:39Z,2024,2024-01-01,2024-12-31
3357141,TOBACCO_MPOWER_R_TAXREVENUEPREVIOUS,COUNTRY,LAO,WPR,Western Pacific,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Rev_type_prev,,,,,,,Cigarettes only,,,,,2025-08-12T08:52:39Z,2024,2024-01-01,2024-12-31
3360364,TOBACCO_MPOWER_R_TAXREVENUEPREVIOUS,COUNTRY,EST,EUR,Europe,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Rev_VAT_prev,,,,,,,. . .,,,,,2025-08-12T08:52:39Z,2024,2024-01-01,2024-12-31
3418070,TOBACCO_MPOWER_R_TAXREVENUEPREVIOUS,COUNTRY,GMB,AFR,Africa,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Rev_excise_prev,,,,,,,234 703 787,234703787,,,,2025-08-12T08:52:39Z,2024,2024-01-01,2024-12-31
3431925,TOBACCO_MPOWER_R_TAXREVENUEPREVIOUS,COUNTRY,AGO,AFR,Africa,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Rev_govt_total_prev,,,,,,,6 619 984 024,6619984024,,,,2025-08-12T08:52:39Z,2024,2024-01-01,2024-12-31
