Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
2948295,TOBACCO_MPOWER_W2A_CIGARETTES,COUNTRY,BTN,SEAR,South-East Asia,YEAR,2018,TOBACCO_INDICATOR,TOBACCO_INDICATOR_W25_quitline_number_A,,,,,,,No,,,,,2025-07-05T14:51:06Z,2018,2018-01-01,2018-12-31
2948518,TOBACCO_MPOWER_W2A_CIGARETTES,COUNTRY,NAM,AFR,Africa,YEAR,2008,TOBACCO_INDICATOR,TOBACCO_INDICATOR_W23_emissions_front_back_A,,,,,,,—,,,,,2025-07-05T14:51:06Z,2008,2008-01-01,2008-12-31
2948956,TOBACCO_MPOWER_W2A_CIGARETTES,COUNTRY,DMA,AMR,Americas,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_W14_harm_effects_A,,,,,,,—,,,,,2025-07-05T14:51:06Z,2024,2024-01-01,2024-12-31
2949028,TOBACCO_MPOWER_W2A_CIGARETTES,COUNTRY,BGR,EUR,Europe,YEAR,2012,TOBACCO_INDICATOR,TOBACCO_INDICATOR_W19_colours_numbers_A,,,,,,,Yes,,,,,2025-07-05T14:51:06Z,2012,2012-01-01,2012-12-31
2949133,TOBACCO_MPOWER_W2A_CIGARETTES,COUNTRY,LUX,EUR,Europe,YEAR,2012,TOBACCO_INDICATOR,TOBACCO_INDICATOR_W18_misleading_terms_A,,,,,,,Yes,,,,,2025-07-05T14:51:06Z,2012,2012-01-01,2012-12-31
2949890,TOBACCO_MPOWER_W2A_CIGARETTES,COUNTRY,RWA,AFR,Africa,YEAR,2016,TOBACCO_INDICATOR,TOBACCO_INDICATOR_W16_number_hw_A,,,,,,,1,1,,,,2025-07-18T07:20:05Z,2016,2016-01-01,2016-12-31
2950007,TOBACCO_MPOWER_W2A_CIGARETTES,COUNTRY,VEN,AMR,Americas,YEAR,2014,TOBACCO_INDICATOR,TOBACCO_INDICATOR_W12_imports_dutyfree_A,,,,,,,Yes,,,,,2025-07-05T14:51:06Z,2014,2014-01-01,2014-12-31
2951681,TOBACCO_MPOWER_W2A_CIGARETTES,COUNTRY,ETH,AFR,Africa,YEAR,2010,TOBACCO_INDICATOR,TOBACCO_INDICATOR_W22_emissions_qual_A,,,,,,,No,,,,,2025-07-05T14:51:06Z,2010,2010-01-01,2010-12-31
2951756,TOBACCO_MPOWER_W2A_CIGARETTES,COUNTRY,GNB,AFR,Africa,YEAR,2018,TOBACCO_INDICATOR,TOBACCO_INDICATOR_W17_fines_A,,,,,,,—,,,,,2025-07-05T14:51:06Z,2018,2018-01-01,2018-12-31
2951927,TOBACCO_MPOWER_W2A_CIGARETTES,COUNTRY,BHR,EMR,Eastern Mediterranean,YEAR,2022,TOBACCO_INDICATOR,TOBACCO_INDICATOR_W12_imports_dutyfree_A,,,,,,,Yes,,,,,2025-07-05T14:51:06Z,2022,2022-01-01,2022-12-31
