Id,IndicatorCode,SpatialDimension,SpatialDimensionValueCode,ParentLocationCode,ParentLocation,TimeDimension,TimeDim,DisaggregatingDimension1,DisaggregatingDimension1ValueCode,DisaggregatingDimension2,DisaggregatingDimension2ValueCode,DisaggregatingDimension3,DisaggregatingDimension3ValueCode,DataSourceDimension,DataSourceDimensionValueCode,Value,NumericValue,Low,High,Comments,Date,TimeDimensionValue,TimeDimensionBegin,TimeDimensionEnd
2949267,TOBACCO_MPOWER_W3_MASSMEDIA,COUNTRY,GNB,AFR,Africa,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Camp_tv_radio,,,,,,,—,,,,,2025-07-06T07:53:46Z,2024,2024-01-01,2024-12-31
2949348,TOBACCO_MPOWER_W3_MASSMEDIA,COUNTRY,SVN,EUR,Europe,YEAR,2018,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Camp_nat,,,,,,,Yes,,,,,2025-07-06T07:53:46Z,2018,2018-01-01,2018-12-31
2949882,TOBACCO_MPOWER_W3_MASSMEDIA,COUNTRY,GAB,AFR,Africa,YEAR,2012,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Camp_media_planning,,,,,,,—,,,,,2025-07-06T07:53:46Z,2012,2012-01-01,2012-12-31
2952167,TOBACCO_MPOWER_W3_MASSMEDIA,COUNTRY,AUT,EUR,Europe,YEAR,2010,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Camp_nat,,,,,,,No,,,,,2025-07-06T07:53:46Z,2010,2010-01-01,2010-12-31
2952753,TOBACCO_MPOWER_W3_MASSMEDIA,COUNTRY,TGO,AFR,Africa,YEAR,2024,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Camp_mat_tested,,,,,,,—,,,,,2025-07-06T07:53:46Z,2024,2024-01-01,2024-12-31
2953574,TOBACCO_MPOWER_W3_MASSMEDIA,COUNTRY,TGO,AFR,Africa,YEAR,2010,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Camp_eval_impact,,,,,,,Yes,,,,,2025-07-06T07:53:46Z,2010,2010-01-01,2010-12-31
2954937,TOBACCO_MPOWER_W3_MASSMEDIA,COUNTRY,FRA,EUR,Europe,YEAR,2020,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Camp_gov_prog,,,,,,,Yes,,,,,2025-07-06T07:53:46Z,2020,2020-01-01,2020-12-31
2956650,TOBACCO_MPOWER_W3_MASSMEDIA,COUNTRY,QAT,EMR,Eastern Mediterranean,YEAR,2018,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Camp_mat_tested,,,,,,,Yes,,,,,2025-07-06T07:53:46Z,2018,2018-01-01,2018-12-31
2956715,TOBACCO_MPOWER_W3_MASSMEDIA,COUNTRY,ATG,AMR,Americas,YEAR,2010,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Camp_gov_prog,,,,,,,—,,,,,2025-07-06T07:53:46Z,2010,2010-01-01,2010-12-31
2957016,TOBACCO_MPOWER_W3_MASSMEDIA,COUNTRY,TTO,AMR,Americas,YEAR,2018,TOBACCO_INDICATOR,TOBACCO_INDICATOR_Camp_news,,,,,,,—,,,,,2025-07-06T07:53:46Z,2018,2018-01-01,2018-12-31
